project,type,model,test_precision,test_recall,test_f1,test_accuracy
All,design,DecisionTreeModel,0.64,0.64,0.64,0.64
All,design,GaussianNaiveBayesModel,0.75,0.27,0.37,0.58
All,design,GradientBoostingRegressorModel,0.64,0.6,0.62,0.63
All,design,LinearSVMModel,0.68,0.27,0.38,0.57
All,design,LogisticRegressionModel,0.64,0.43,0.51,0.59
All,design,RandomForestModel,0.62,0.62,0.61,0.62
All,implementation,DecisionTreeModel,0.73,0.64,0.68,0.7
All,implementation,GaussianNaiveBayesModel,0.52,0.95,0.66,0.51
All,implementation,GradientBoostingRegressorModel,0.7,0.65,0.67,0.69
All,implementation,LinearSVMModel,0.68,0.45,0.54,0.62
All,implementation,LogisticRegressionModel,0.68,0.52,0.59,0.64
All,implementation,RandomForestModel,0.7,0.66,0.68,0.69
