project,type,model,test_precision,test_recall,test_f1,test_accuracy
All,design,DecisionTreeModel,0.65,0.65,0.65,0.65
All,design,GaussianNaiveBayesModel,0.74,0.2,0.31,0.57
All,design,GradientBoostingRegressorModel,0.67,0.64,0.65,0.66
All,design,LinearSVMModel,0.73,0.26,0.37,0.58
All,design,LogisticRegressionModel,0.65,0.39,0.48,0.59
All,design,RandomForestModel,0.64,0.6,0.61,0.63
All,implementation,DecisionTreeModel,0.7,0.66,0.67,0.68
All,implementation,GaussianNaiveBayesModel,0.73,0.21,0.33,0.56
All,implementation,GradientBoostingRegressorModel,0.68,0.68,0.68,0.68
All,implementation,LinearSVMModel,0.69,0.46,0.54,0.62
All,implementation,LogisticRegressionModel,0.67,0.5,0.57,0.63
All,implementation,RandomForestModel,0.69,0.69,0.69,0.69
