config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
872216,CSV,All,implementation,LinearSVMModel,0.68,0.42,0.61,0.52,299,81,219,161,0.61
872216,CSV,All,implementation,RandomForestModel,0.69,0.66,0.68,0.67,263,117,130,250,0.68
872216,CSV,All,implementation,DecisionTreeModel,0.67,0.66,0.66,0.66,255,125,130,250,0.66
872216,CSV,All,implementation,LogisticRegressionModel,0.65,0.49,0.61,0.56,280,100,194,186,0.61
872216,CSV,All,implementation,GaussianNaiveBayesModel,0.72,0.37,0.61,0.48,320,60,239,141,0.61
872216,CSV,All,implementation,GradientBoostingRegressorModel,0.66,0.63,0.65,0.64,254,126,139,241,0.65
872216,CSV,All,design,LinearSVMModel,0.67,0.35,0.59,0.45,212,46,168,90,0.59
872216,CSV,All,design,RandomForestModel,0.61,0.58,0.61,0.59,164,94,109,149,0.61
872216,CSV,All,design,DecisionTreeModel,0.61,0.66,0.61,0.63,146,112,87,171,0.61
872216,CSV,All,design,LogisticRegressionModel,0.63,0.46,0.59,0.52,188,70,140,118,0.59
872216,CSV,All,design,GaussianNaiveBayesModel,0.65,0.38,0.59,0.48,205,53,159,99,0.59
872216,CSV,All,design,GradientBoostingRegressorModel,0.59,0.55,0.58,0.57,160,98,116,142,0.58

