project,type,model,test_precision,test_recall,test_f1,test_accuracy
All,design,DecisionTreeModel,0.61,0.66,0.63,0.61
All,design,GaussianNaiveBayesModel,0.65,0.38,0.48,0.59
All,design,GradientBoostingRegressorModel,0.59,0.55,0.57,0.58
All,design,LinearSVMModel,0.67,0.35,0.45,0.59
All,design,LogisticRegressionModel,0.63,0.46,0.52,0.59
All,design,RandomForestModel,0.61,0.58,0.59,0.61
All,implementation,DecisionTreeModel,0.67,0.66,0.66,0.66
All,implementation,GaussianNaiveBayesModel,0.72,0.37,0.48,0.61
All,implementation,GradientBoostingRegressorModel,0.66,0.63,0.64,0.65
All,implementation,LinearSVMModel,0.68,0.42,0.52,0.61
All,implementation,LogisticRegressionModel,0.65,0.49,0.56,0.61
All,implementation,RandomForestModel,0.69,0.66,0.67,0.68
