project,type,model,test_precision,test_recall,test_f1,test_accuracy
All,design,DecisionTreeModel,0.62,0.59,0.6,0.61
All,design,GaussianNaiveBayesModel,0.66,0.33,0.44,0.58
All,design,GradientBoostingRegressorModel,0.62,0.51,0.55,0.59
All,design,LinearSVMModel,0.67,0.34,0.44,0.59
All,design,LogisticRegressionModel,0.69,0.47,0.56,0.62
All,design,RandomForestModel,0.63,0.56,0.59,0.62
All,implementation,DecisionTreeModel,0.62,0.69,0.65,0.64
All,implementation,GaussianNaiveBayesModel,0.67,0.38,0.48,0.59
All,implementation,GradientBoostingRegressorModel,0.61,0.61,0.61,0.61
All,implementation,LinearSVMModel,0.64,0.49,0.56,0.61
All,implementation,LogisticRegressionModel,0.64,0.55,0.59,0.62
All,implementation,RandomForestModel,0.62,0.69,0.65,0.63
