config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
344681,CSV,All,implementation,LinearSVMModel,0.67,0.28,0.57,0.38,325,55,275,105,0.57
344681,CSV,All,implementation,RandomForestModel,0.67,0.59,0.65,0.63,271,109,154,226,0.65
344681,CSV,All,implementation,DecisionTreeModel,0.66,0.58,0.64,0.61,263,117,159,221,0.64
344681,CSV,All,implementation,LogisticRegressionModel,0.62,0.49,0.60,0.55,268,112,192,188,0.60
344681,CSV,All,implementation,GaussianNaiveBayesModel,0.61,0.39,0.56,0.45,273,107,230,150,0.56
344681,CSV,All,implementation,GradientBoostingRegressorModel,0.69,0.59,0.66,0.63,276,104,156,224,0.66
344681,CSV,All,design,LinearSVMModel,0.64,0.37,0.58,0.46,203,55,163,95,0.58
344681,CSV,All,design,RandomForestModel,0.65,0.60,0.63,0.62,172,86,103,155,0.63
344681,CSV,All,design,DecisionTreeModel,0.67,0.52,0.62,0.58,186,72,123,135,0.62
344681,CSV,All,design,LogisticRegressionModel,0.64,0.48,0.60,0.55,189,69,135,123,0.61
344681,CSV,All,design,GaussianNaiveBayesModel,0.50,0.99,0.50,0.66,4,254,3,255,0.50
344681,CSV,All,design,GradientBoostingRegressorModel,0.69,0.58,0.65,0.62,188,70,108,150,0.66
