project,type,model,test_precision,test_recall,test_f1,test_accuracy
All,design,DecisionTreeModel,0.67,0.52,0.58,0.62
All,design,GaussianNaiveBayesModel,0.5,0.99,0.66,0.5
All,design,GradientBoostingRegressorModel,0.69,0.58,0.62,0.65
All,design,LinearSVMModel,0.64,0.37,0.46,0.58
All,design,LogisticRegressionModel,0.64,0.48,0.55,0.6
All,design,RandomForestModel,0.65,0.6,0.62,0.63
All,implementation,DecisionTreeModel,0.66,0.58,0.61,0.64
All,implementation,GaussianNaiveBayesModel,0.61,0.39,0.45,0.56
All,implementation,GradientBoostingRegressorModel,0.69,0.59,0.63,0.66
All,implementation,LinearSVMModel,0.67,0.28,0.38,0.57
All,implementation,LogisticRegressionModel,0.62,0.49,0.55,0.6
All,implementation,RandomForestModel,0.67,0.59,0.63,0.65
