config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
9087,CSV,All,implementation,LinearSVMModel,0.63,0.32,0.57,0.42,308,72,258,122,0.57
9087,CSV,All,implementation,RandomForestModel,0.70,0.62,0.68,0.66,280,100,144,236,0.68
9087,CSV,All,implementation,DecisionTreeModel,0.69,0.57,0.66,0.62,284,96,162,218,0.66
9087,CSV,All,implementation,LogisticRegressionModel,0.63,0.50,0.60,0.56,267,113,190,190,0.60
9087,CSV,All,implementation,GaussianNaiveBayesModel,0.64,0.28,0.56,0.38,315,65,273,107,0.56
9087,CSV,All,implementation,GradientBoostingRegressorModel,0.69,0.61,0.66,0.64,275,105,150,230,0.66
9087,CSV,All,design,LinearSVMModel,0.64,0.36,0.58,0.45,207,51,166,92,0.58
9087,CSV,All,design,RandomForestModel,0.65,0.59,0.63,0.61,173,85,105,153,0.63
9087,CSV,All,design,DecisionTreeModel,0.63,0.60,0.62,0.61,167,91,104,154,0.62
9087,CSV,All,design,LogisticRegressionModel,0.62,0.49,0.59,0.54,179,79,131,127,0.59
9087,CSV,All,design,GaussianNaiveBayesModel,0.50,1.00,0.51,0.67,5,253,1,257,0.51
9087,CSV,All,design,GradientBoostingRegressorModel,0.68,0.60,0.66,0.64,183,75,102,156,0.66

