project,type,model,test_precision,test_recall,test_f1,test_accuracy
All,design,DecisionTreeModel,0.63,0.6,0.61,0.62
All,design,GaussianNaiveBayesModel,0.5,1.0,0.67,0.51
All,design,GradientBoostingRegressorModel,0.68,0.6,0.64,0.66
All,design,LinearSVMModel,0.64,0.36,0.45,0.58
All,design,LogisticRegressionModel,0.62,0.49,0.54,0.59
All,design,RandomForestModel,0.65,0.59,0.61,0.63
All,implementation,DecisionTreeModel,0.69,0.57,0.62,0.66
All,implementation,GaussianNaiveBayesModel,0.64,0.28,0.38,0.56
All,implementation,GradientBoostingRegressorModel,0.69,0.61,0.64,0.66
All,implementation,LinearSVMModel,0.63,0.32,0.42,0.57
All,implementation,LogisticRegressionModel,0.63,0.5,0.56,0.6
All,implementation,RandomForestModel,0.7,0.62,0.66,0.68
