config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
317022,CSV,All,implementation,LinearSVMModel,0.69,0.56,0.65,0.62,282,98,167,213,0.65
317022,CSV,All,implementation,RandomForestModel,0.67,0.71,0.68,0.69,249,131,110,270,0.68
317022,CSV,All,implementation,DecisionTreeModel,0.67,0.72,0.68,0.69,245,135,106,274,0.68
317022,CSV,All,implementation,LogisticRegressionModel,0.68,0.58,0.65,0.62,275,105,161,219,0.65
317022,CSV,All,implementation,GaussianNaiveBayesModel,0.68,0.34,0.59,0.46,318,62,249,131,0.59
317022,CSV,All,implementation,GradientBoostingRegressorModel,0.68,0.72,0.69,0.70,250,130,106,274,0.69
317022,CSV,All,design,LinearSVMModel,0.68,0.38,0.60,0.48,214,44,161,97,0.60
317022,CSV,All,design,RandomForestModel,0.65,0.56,0.63,0.60,179,79,113,145,0.63
317022,CSV,All,design,DecisionTreeModel,0.69,0.55,0.64,0.61,190,68,116,142,0.64
317022,CSV,All,design,LogisticRegressionModel,0.65,0.47,0.61,0.54,194,64,137,121,0.61
317022,CSV,All,design,GaussianNaiveBayesModel,0.72,0.25,0.58,0.37,233,25,194,64,0.58
317022,CSV,All,design,GradientBoostingRegressorModel,0.69,0.50,0.63,0.57,198,60,130,128,0.63

