config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
905140,CSV,Google,implementation,LinearSVMModel,0.69,0.43,0.62,0.52,163,40,116,87,0.62
905140,CSV,Google,implementation,RandomForestModel,0.65,0.69,0.66,0.67,126,77,62,141,0.66
905140,CSV,Google,implementation,DecisionTreeModel,0.67,0.57,0.65,0.61,147,56,88,115,0.65
905140,CSV,Google,implementation,LogisticRegressionModel,0.64,0.51,0.61,0.56,145,58,99,104,0.61
905140,CSV,Google,implementation,GaussianNaiveBayesModel,0.74,0.23,0.57,0.34,184,19,156,47,0.57
905140,CSV,Google,implementation,GradientBoostingRegressorModel,0.64,0.62,0.63,0.63,131,72,78,125,0.63
905140,CSV,Google,design,LinearSVMModel,0.42,0.22,0.52,0.26,122,25,115,32,0.53
905140,CSV,Google,design,RandomForestModel,0.65,0.71,0.65,0.67,87,60,42,105,0.65
905140,CSV,Google,design,DecisionTreeModel,0.64,0.72,0.66,0.68,88,59,41,106,0.66
905140,CSV,Google,design,LogisticRegressionModel,0.57,0.41,0.55,0.47,101,46,87,60,0.55
905140,CSV,Google,design,GaussianNaiveBayesModel,0.74,0.16,0.55,0.26,138,9,124,23,0.55
905140,CSV,Google,design,GradientBoostingRegressorModel,0.64,0.62,0.62,0.62,92,55,56,91,0.62

