config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
341077,CSV,Google,implementation,LinearSVMModel,0.74,0.41,0.63,0.51,171,32,120,83,0.62
341077,CSV,Google,implementation,RandomForestModel,0.71,0.42,0.62,0.53,167,36,117,86,0.62
341077,CSV,Google,implementation,DecisionTreeModel,0.68,0.41,0.61,0.51,162,41,119,84,0.61
341077,CSV,Google,implementation,LogisticRegressionModel,0.65,0.50,0.62,0.57,149,54,101,102,0.62
341077,CSV,Google,implementation,GaussianNaiveBayesModel,0.83,0.30,0.61,0.42,186,17,143,60,0.61
341077,CSV,Google,implementation,GradientBoostingRegressorModel,0.62,0.41,0.58,0.49,150,53,119,84,0.58
341077,CSV,Google,design,LinearSVMModel,0.58,0.36,0.54,0.39,105,42,94,53,0.54
341077,CSV,Google,design,RandomForestModel,0.60,0.59,0.58,0.58,85,62,60,87,0.58
341077,CSV,Google,design,DecisionTreeModel,0.65,0.67,0.65,0.64,93,54,49,98,0.65
341077,CSV,Google,design,LogisticRegressionModel,0.58,0.42,0.56,0.48,103,44,86,61,0.56
341077,CSV,Google,design,GaussianNaiveBayesModel,0.71,0.16,0.54,0.25,137,10,124,23,0.54
341077,CSV,Google,design,GradientBoostingRegressorModel,0.63,0.61,0.62,0.61,91,56,57,90,0.62


