project,type,model,test_precision,test_recall,test_f1,test_accuracy
Google,design,DecisionTreeModel,0.65,0.67,0.64,0.65
Google,design,GaussianNaiveBayesModel,0.71,0.16,0.25,0.54
Google,design,GradientBoostingRegressorModel,0.63,0.61,0.61,0.62
Google,design,LinearSVMModel,0.58,0.36,0.39,0.54
Google,design,LogisticRegressionModel,0.58,0.42,0.48,0.56
Google,design,RandomForestModel,0.6,0.59,0.58,0.58
Google,implementation,DecisionTreeModel,0.68,0.41,0.51,0.61
Google,implementation,GaussianNaiveBayesModel,0.83,0.3,0.42,0.61
Google,implementation,GradientBoostingRegressorModel,0.62,0.41,0.49,0.58
Google,implementation,LinearSVMModel,0.74,0.41,0.51,0.63
Google,implementation,LogisticRegressionModel,0.65,0.5,0.57,0.62
Google,implementation,RandomForestModel,0.71,0.42,0.53,0.62
