config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
578580,CSV,Google,implementation,LinearSVMModel,0.78,0.29,0.60,0.41,185,18,144,59,0.60
578580,CSV,Google,implementation,RandomForestModel,0.66,0.57,0.64,0.60,142,61,87,116,0.64
578580,CSV,Google,implementation,DecisionTreeModel,0.56,0.48,0.55,0.51,125,78,106,97,0.55
578580,CSV,Google,implementation,LogisticRegressionModel,0.66,0.44,0.60,0.52,155,48,113,90,0.60
578580,CSV,Google,implementation,GaussianNaiveBayesModel,0.66,0.22,0.57,0.32,187,16,159,44,0.57
578580,CSV,Google,implementation,GradientBoostingRegressorModel,0.65,0.54,0.62,0.58,142,61,94,109,0.62
578580,CSV,Google,design,LinearSVMModel,0.63,0.18,0.54,0.25,132,15,120,27,0.54
578580,CSV,Google,design,RandomForestModel,0.61,0.49,0.59,0.54,102,45,74,73,0.59
578580,CSV,Google,design,DecisionTreeModel,0.56,0.48,0.55,0.50,92,55,77,70,0.55
578580,CSV,Google,design,LogisticRegressionModel,0.63,0.46,0.60,0.53,107,40,79,68,0.59
578580,CSV,Google,design,GaussianNaiveBayesModel,0.73,0.16,0.54,0.24,135,12,124,23,0.54
578580,CSV,Google,design,GradientBoostingRegressorModel,0.62,0.58,0.62,0.60,96,51,62,85,0.61

