project,type,model,test_precision,test_recall,test_f1,test_accuracy
Google,design,DecisionTreeModel,0.56,0.48,0.5,0.55
Google,design,GaussianNaiveBayesModel,0.73,0.16,0.24,0.54
Google,design,GradientBoostingRegressorModel,0.62,0.58,0.6,0.62
Google,design,LinearSVMModel,0.63,0.18,0.25,0.54
Google,design,LogisticRegressionModel,0.63,0.46,0.53,0.6
Google,design,RandomForestModel,0.61,0.49,0.54,0.59
Google,implementation,DecisionTreeModel,0.56,0.48,0.51,0.55
Google,implementation,GaussianNaiveBayesModel,0.66,0.22,0.32,0.57
Google,implementation,GradientBoostingRegressorModel,0.65,0.54,0.58,0.62
Google,implementation,LinearSVMModel,0.78,0.29,0.41,0.6
Google,implementation,LogisticRegressionModel,0.66,0.44,0.52,0.6
Google,implementation,RandomForestModel,0.66,0.57,0.6,0.64
