config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
11021,CSV,Google,implementation,LinearSVMModel,0.64,0.32,0.57,0.42,166,37,138,65,0.57
11021,CSV,Google,implementation,RandomForestModel,0.64,0.66,0.64,0.64,126,77,70,133,0.64
11021,CSV,Google,implementation,DecisionTreeModel,0.62,0.56,0.61,0.59,133,70,89,114,0.61
11021,CSV,Google,implementation,LogisticRegressionModel,0.59,0.51,0.58,0.54,131,72,99,104,0.58
11021,CSV,Google,implementation,GaussianNaiveBayesModel,0.66,0.15,0.53,0.24,184,19,172,31,0.53
11021,CSV,Google,implementation,GradientBoostingRegressorModel,0.62,0.58,0.61,0.59,129,74,85,118,0.61
11021,CSV,Google,design,LinearSVMModel,0.26,0.09,0.45,0.13,120,27,134,13,0.45
11021,CSV,Google,design,RandomForestModel,0.62,0.49,0.59,0.53,103,44,75,72,0.59
11021,CSV,Google,design,DecisionTreeModel,0.62,0.46,0.58,0.51,105,42,80,67,0.59
11021,CSV,Google,design,LogisticRegressionModel,0.43,0.32,0.47,0.36,91,56,100,47,0.47
11021,CSV,Google,design,GaussianNaiveBayesModel,0.72,0.10,0.53,0.18,142,5,132,15,0.53
11021,CSV,Google,design,GradientBoostingRegressorModel,0.54,0.50,0.55,0.51,89,58,74,73,0.55

