project,type,model,test_precision,test_recall,test_f1,test_accuracy
Google,design,DecisionTreeModel,0.62,0.46,0.51,0.58
Google,design,GaussianNaiveBayesModel,0.72,0.1,0.18,0.53
Google,design,GradientBoostingRegressorModel,0.54,0.5,0.51,0.55
Google,design,LinearSVMModel,0.26,0.09,0.13,0.45
Google,design,LogisticRegressionModel,0.43,0.32,0.36,0.47
Google,design,RandomForestModel,0.62,0.49,0.53,0.59
Google,implementation,DecisionTreeModel,0.62,0.56,0.59,0.61
Google,implementation,GaussianNaiveBayesModel,0.66,0.15,0.24,0.53
Google,implementation,GradientBoostingRegressorModel,0.62,0.58,0.59,0.61
Google,implementation,LinearSVMModel,0.64,0.32,0.42,0.57
Google,implementation,LogisticRegressionModel,0.59,0.51,0.54,0.58
Google,implementation,RandomForestModel,0.64,0.66,0.64,0.64
