config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
801887,CSV,Google,implementation,LinearSVMModel,0.65,0.35,0.58,0.44,165,38,132,71,0.58
801887,CSV,Google,implementation,RandomForestModel,0.62,0.55,0.60,0.57,134,69,92,111,0.60
801887,CSV,Google,implementation,DecisionTreeModel,0.63,0.45,0.58,0.51,144,59,111,92,0.58
801887,CSV,Google,implementation,LogisticRegressionModel,0.62,0.47,0.59,0.53,143,60,107,96,0.59
801887,CSV,Google,implementation,GaussianNaiveBayesModel,0.64,0.24,0.55,0.34,176,27,154,49,0.55
801887,CSV,Google,implementation,GradientBoostingRegressorModel,0.58,0.50,0.57,0.53,131,72,102,101,0.57
801887,CSV,Google,design,LinearSVMModel,0.51,0.12,0.49,0.18,127,20,130,17,0.49
801887,CSV,Google,design,RandomForestModel,0.63,0.50,0.61,0.55,104,43,73,74,0.60
801887,CSV,Google,design,DecisionTreeModel,0.66,0.48,0.61,0.54,109,38,77,70,0.61
801887,CSV,Google,design,LogisticRegressionModel,0.51,0.35,0.50,0.41,94,53,95,52,0.50
801887,CSV,Google,design,GaussianNaiveBayesModel,0.47,0.09,0.52,0.15,140,7,134,13,0.52
801887,CSV,Google,design,GradientBoostingRegressorModel,0.60,0.46,0.57,0.51,102,45,80,67,0.57

