project,type,model,test_precision,test_recall,test_f1,test_accuracy
Google,design,DecisionTreeModel,0.66,0.48,0.54,0.61
Google,design,GaussianNaiveBayesModel,0.47,0.09,0.15,0.52
Google,design,GradientBoostingRegressorModel,0.6,0.46,0.51,0.57
Google,design,LinearSVMModel,0.51,0.12,0.18,0.49
Google,design,LogisticRegressionModel,0.51,0.35,0.41,0.5
Google,design,RandomForestModel,0.63,0.5,0.55,0.61
Google,implementation,DecisionTreeModel,0.63,0.45,0.51,0.58
Google,implementation,GaussianNaiveBayesModel,0.64,0.24,0.34,0.55
Google,implementation,GradientBoostingRegressorModel,0.58,0.5,0.53,0.57
Google,implementation,LinearSVMModel,0.65,0.35,0.44,0.58
Google,implementation,LogisticRegressionModel,0.62,0.47,0.53,0.59
Google,implementation,RandomForestModel,0.62,0.55,0.57,0.6
