project,type,model,test_precision,test_recall,test_f1,test_accuracy
Google,design,DecisionTreeModel,0.59,0.56,0.57,0.59
Google,design,GaussianNaiveBayesModel,0.57,0.17,0.26,0.54
Google,design,GradientBoostingRegressorModel,0.61,0.59,0.6,0.61
Google,design,LinearSVMModel,0.7,0.18,0.27,0.55
Google,design,LogisticRegressionModel,0.52,0.48,0.5,0.52
Google,design,RandomForestModel,0.63,0.68,0.65,0.64
Google,implementation,DecisionTreeModel,0.69,0.5,0.57,0.63
Google,implementation,GaussianNaiveBayesModel,0.73,0.24,0.35,0.58
Google,implementation,GradientBoostingRegressorModel,0.63,0.59,0.61,0.62
Google,implementation,LinearSVMModel,0.71,0.4,0.5,0.62
Google,implementation,LogisticRegressionModel,0.62,0.52,0.56,0.61
Google,implementation,RandomForestModel,0.63,0.66,0.64,0.64
