config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
843438,CSV,Google,implementation,LinearSVMModel,0.72,0.46,0.64,0.56,166,37,110,93,0.64
843438,CSV,Google,implementation,RandomForestModel,0.69,0.49,0.63,0.57,158,45,104,99,0.63
843438,CSV,Google,implementation,DecisionTreeModel,0.69,0.45,0.62,0.53,160,43,112,91,0.62
843438,CSV,Google,implementation,LogisticRegressionModel,0.69,0.55,0.65,0.61,153,50,91,112,0.65
843438,CSV,Google,implementation,GaussianNaiveBayesModel,0.79,0.30,0.61,0.43,187,16,141,62,0.61
843438,CSV,Google,implementation,GradientBoostingRegressorModel,0.69,0.45,0.63,0.54,164,39,111,92,0.63
843438,CSV,Google,design,LinearSVMModel,0.62,0.25,0.54,0.34,121,26,110,37,0.54
843438,CSV,Google,design,RandomForestModel,0.62,0.57,0.61,0.59,94,53,63,84,0.60
843438,CSV,Google,design,DecisionTreeModel,0.62,0.61,0.62,0.61,92,55,58,89,0.62
843438,CSV,Google,design,LogisticRegressionModel,0.55,0.50,0.54,0.52,86,61,73,74,0.54
843438,CSV,Google,design,GaussianNaiveBayesModel,0.71,0.20,0.56,0.30,135,12,118,29,0.56
843438,CSV,Google,design,GradientBoostingRegressorModel,0.63,0.68,0.63,0.65,86,61,47,100,0.63

