project,type,model,test_precision,test_recall,test_f1,test_accuracy
Google,design,DecisionTreeModel,0.62,0.61,0.61,0.62
Google,design,GaussianNaiveBayesModel,0.71,0.2,0.3,0.56
Google,design,GradientBoostingRegressorModel,0.63,0.68,0.65,0.63
Google,design,LinearSVMModel,0.62,0.25,0.34,0.54
Google,design,LogisticRegressionModel,0.55,0.5,0.52,0.54
Google,design,RandomForestModel,0.62,0.57,0.59,0.61
Google,implementation,DecisionTreeModel,0.69,0.45,0.53,0.62
Google,implementation,GaussianNaiveBayesModel,0.79,0.3,0.43,0.61
Google,implementation,GradientBoostingRegressorModel,0.69,0.45,0.54,0.63
Google,implementation,LinearSVMModel,0.72,0.46,0.56,0.64
Google,implementation,LogisticRegressionModel,0.69,0.55,0.61,0.65
Google,implementation,RandomForestModel,0.69,0.49,0.57,0.63
