config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
894084,CSV,Netflix,implementation,LinearSVMModel,0.68,0.44,0.62,0.53,302,78,213,167,0.62
894084,CSV,Netflix,implementation,RandomForestModel,0.67,0.66,0.67,0.66,256,124,129,251,0.67
894084,CSV,Netflix,implementation,DecisionTreeModel,0.68,0.61,0.65,0.64,265,115,149,231,0.65
894084,CSV,Netflix,implementation,LogisticRegressionModel,0.65,0.49,0.61,0.56,277,103,193,187,0.61
894084,CSV,Netflix,implementation,GaussianNaiveBayesModel,0.71,0.38,0.61,0.49,320,60,236,144,0.61
894084,CSV,Netflix,implementation,GradientBoostingRegressorModel,0.67,0.64,0.66,0.65,260,120,138,242,0.66
894084,CSV,Netflix,design,LinearSVMModel,0.67,0.36,0.59,0.47,210,48,165,93,0.59
894084,CSV,Netflix,design,RandomForestModel,0.61,0.56,0.60,0.58,165,93,113,145,0.60
894084,CSV,Netflix,design,DecisionTreeModel,0.63,0.45,0.60,0.52,191,67,142,116,0.60
894084,CSV,Netflix,design,LogisticRegressionModel,0.63,0.48,0.59,0.54,183,75,134,124,0.59
894084,CSV,Netflix,design,GaussianNaiveBayesModel,0.67,0.40,0.60,0.50,205,53,154,104,0.60
894084,CSV,Netflix,design,GradientBoostingRegressorModel,0.60,0.59,0.59,0.59,154,104,107,151,0.59

