config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
596118,CSV,Netflix,implementation,LinearSVMModel,0.63,0.49,0.60,0.55,271,109,194,186,0.60
596118,CSV,Netflix,implementation,RandomForestModel,0.62,0.70,0.63,0.65,211,169,115,265,0.63
596118,CSV,Netflix,implementation,DecisionTreeModel,0.60,0.64,0.61,0.62,218,162,136,244,0.61
596118,CSV,Netflix,implementation,LogisticRegressionModel,0.63,0.54,0.61,0.57,258,122,176,204,0.61
596118,CSV,Netflix,implementation,GaussianNaiveBayesModel,0.67,0.38,0.59,0.48,309,71,237,143,0.59
596118,CSV,Netflix,implementation,GradientBoostingRegressorModel,0.62,0.63,0.62,0.62,233,147,141,239,0.62
596118,CSV,Netflix,design,LinearSVMModel,0.67,0.34,0.59,0.45,216,42,169,89,0.59
596118,CSV,Netflix,design,RandomForestModel,0.63,0.55,0.60,0.58,170,88,116,142,0.60
596118,CSV,Netflix,design,DecisionTreeModel,0.66,0.57,0.63,0.61,177,81,110,148,0.63
596118,CSV,Netflix,design,LogisticRegressionModel,0.67,0.47,0.62,0.55,198,60,137,121,0.62
596118,CSV,Netflix,design,GaussianNaiveBayesModel,0.64,0.31,0.58,0.41,216,42,177,81,0.58
596118,CSV,Netflix,design,GradientBoostingRegressorModel,0.59,0.51,0.58,0.54,168,90,126,132,0.58

