project,type,model,test_precision,test_recall,test_f1,test_accuracy
Netflix,design,DecisionTreeModel,0.66,0.57,0.61,0.63
Netflix,design,GaussianNaiveBayesModel,0.64,0.31,0.41,0.58
Netflix,design,GradientBoostingRegressorModel,0.59,0.51,0.54,0.58
Netflix,design,LinearSVMModel,0.67,0.34,0.45,0.59
Netflix,design,LogisticRegressionModel,0.67,0.47,0.55,0.62
Netflix,design,RandomForestModel,0.63,0.55,0.58,0.6
Netflix,implementation,DecisionTreeModel,0.6,0.64,0.62,0.61
Netflix,implementation,GaussianNaiveBayesModel,0.67,0.38,0.48,0.59
Netflix,implementation,GradientBoostingRegressorModel,0.62,0.63,0.62,0.62
Netflix,implementation,LinearSVMModel,0.63,0.49,0.55,0.6
Netflix,implementation,LogisticRegressionModel,0.63,0.54,0.57,0.61
Netflix,implementation,RandomForestModel,0.62,0.7,0.65,0.63
