config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
953709,CSV,Netflix,implementation,LinearSVMModel,0.66,0.30,0.57,0.41,320,60,266,114,0.57
953709,CSV,Netflix,implementation,RandomForestModel,0.67,0.61,0.66,0.64,268,112,148,232,0.66
953709,CSV,Netflix,implementation,DecisionTreeModel,0.70,0.52,0.65,0.59,297,83,184,196,0.65
953709,CSV,Netflix,implementation,LogisticRegressionModel,0.64,0.48,0.60,0.54,276,104,198,182,0.60
953709,CSV,Netflix,implementation,GaussianNaiveBayesModel,0.59,0.38,0.55,0.43,272,108,236,144,0.55
953709,CSV,Netflix,implementation,GradientBoostingRegressorModel,0.69,0.59,0.66,0.63,280,100,156,224,0.66
953709,CSV,Netflix,design,LinearSVMModel,0.66,0.37,0.58,0.47,206,52,162,96,0.59
953709,CSV,Netflix,design,RandomForestModel,0.65,0.60,0.63,0.62,171,87,104,154,0.63
953709,CSV,Netflix,design,DecisionTreeModel,0.63,0.68,0.64,0.65,155,103,83,175,0.64
953709,CSV,Netflix,design,LogisticRegressionModel,0.64,0.46,0.60,0.53,192,66,139,119,0.60
953709,CSV,Netflix,design,GaussianNaiveBayesModel,0.50,0.99,0.50,0.66,4,254,3,255,0.50
953709,CSV,Netflix,design,GradientBoostingRegressorModel,0.67,0.60,0.65,0.63,181,77,104,154,0.65


