project,type,model,test_precision,test_recall,test_f1,test_accuracy
Netflix,design,DecisionTreeModel,0.67,0.51,0.57,0.62
Netflix,design,GaussianNaiveBayesModel,0.52,0.89,0.65,0.52
Netflix,design,GradientBoostingRegressorModel,0.62,0.61,0.62,0.62
Netflix,design,LinearSVMModel,0.64,0.42,0.5,0.59
Netflix,design,LogisticRegressionModel,0.64,0.54,0.58,0.61
Netflix,design,RandomForestModel,0.66,0.57,0.61,0.64
Netflix,implementation,DecisionTreeModel,0.67,0.73,0.69,0.68
Netflix,implementation,GaussianNaiveBayesModel,0.59,0.81,0.67,0.61
Netflix,implementation,GradientBoostingRegressorModel,0.69,0.71,0.7,0.69
Netflix,implementation,LinearSVMModel,0.66,0.55,0.6,0.63
Netflix,implementation,LogisticRegressionModel,0.67,0.57,0.61,0.64
Netflix,implementation,RandomForestModel,0.68,0.72,0.7,0.69
