project,type,model,test_precision,test_recall,test_f1,test_accuracy
Netflix,design,DecisionTreeModel,0.72,0.51,0.59,0.65
Netflix,design,GaussianNaiveBayesModel,0.72,0.23,0.34,0.57
Netflix,design,GradientBoostingRegressorModel,0.65,0.53,0.58,0.62
Netflix,design,LinearSVMModel,0.69,0.37,0.48,0.6
Netflix,design,LogisticRegressionModel,0.66,0.47,0.54,0.62
Netflix,design,RandomForestModel,0.67,0.63,0.64,0.66
Netflix,implementation,DecisionTreeModel,0.66,0.68,0.67,0.66
Netflix,implementation,GaussianNaiveBayesModel,0.7,0.36,0.47,0.6
Netflix,implementation,GradientBoostingRegressorModel,0.68,0.72,0.7,0.69
Netflix,implementation,LinearSVMModel,0.68,0.55,0.61,0.65
Netflix,implementation,LogisticRegressionModel,0.69,0.59,0.63,0.66
Netflix,implementation,RandomForestModel,0.68,0.72,0.7,0.69
