194631,['Spring-boot', 'Spring-security'],LinearSVMModel,implementation,['C: 0.5892628202201747'; 'kernel: linear'; 'shrinking: false']
194631,['Spring-boot', 'Spring-security'],RandomForestModel,implementation,['bootstrap: true'; 'criterion: gini'; 'max_depth: 6'; 'max_features: sqrt'; 'min_samples_split: 2'; 'n_estimators: 10']
194631,['Spring-boot', 'Spring-security'],DecisionTreeModel,implementation,['criterion: entropy'; 'max_depth: 6'; 'max_features: null'; 'min_samples_split: 2'; 'splitter: random']
194631,['Spring-boot', 'Spring-security'],LogisticRegressionModel,implementation,['C: 26.43696009236721'; 'max_iter: 50']
194631,['Spring-boot', 'Spring-security'],GaussianNaiveBayesModel,implementation,['var_smoothing: 1e-10']
194631,['Spring-boot', 'Spring-security'],GradientBoostingRegressorModel,implementation,['max_depth: 3'; 'min_samples_split: 2'; 'n_estimators: 100']
194631,['Spring-boot', 'Spring-security'],LinearSVMModel,implementation,['C: 0.30690241984719374'; 'kernel: linear'; 'shrinking: false']
194631,['Spring-boot', 'Spring-security'],RandomForestModel,implementation,['bootstrap: true'; 'criterion: gini'; 'max_depth: 3'; 'max_features: sqrt'; 'min_samples_split: 10'; 'n_estimators: 150']
194631,['Spring-boot', 'Spring-security'],DecisionTreeModel,implementation,['criterion: entropy'; 'max_depth: 3'; 'max_features: null'; 'min_samples_split: 2'; 'splitter: best']
194631,['Spring-boot', 'Spring-security'],LogisticRegressionModel,implementation,['C: 0.2234733343408313'; 'max_iter: 50']
194631,['Spring-boot', 'Spring-security'],GaussianNaiveBayesModel,implementation,['var_smoothing: 1e-10']
194631,['Spring-boot', 'Spring-security'],GradientBoostingRegressorModel,implementation,['max_depth: 3'; 'min_samples_split: 2'; 'n_estimators: 10']

