project,type,model,test_precision,test_recall,test_f1,test_accuracy
Spring,design,DecisionTreeModel,0.63,0.56,0.59,0.61
Spring,design,GaussianNaiveBayesModel,0.63,0.11,0.18,0.52
Spring,design,GradientBoostingRegressorModel,0.63,0.72,0.67,0.65
Spring,design,LinearSVMModel,0.6,0.39,0.47,0.56
Spring,design,LogisticRegressionModel,0.61,0.49,0.54,0.59
Spring,design,RandomForestModel,0.64,0.67,0.65,0.65
Spring,implementation,DecisionTreeModel,0.62,0.7,0.66,0.63
Spring,implementation,GaussianNaiveBayesModel,0.64,0.13,0.22,0.53
Spring,implementation,GradientBoostingRegressorModel,0.64,0.7,0.66,0.64
Spring,implementation,LinearSVMModel,0.66,0.63,0.64,0.65
Spring,implementation,LogisticRegressionModel,0.63,0.69,0.66,0.64
Spring,implementation,RandomForestModel,0.63,0.76,0.69,0.66
