863105,['Spring-boot', 'Spring-security'],LinearSVMModel,implementation,['C: 6.646472243693814'; 'kernel: linear'; 'shrinking: false']
863105,['Spring-boot', 'Spring-security'],RandomForestModel,implementation,['bootstrap: true'; 'criterion: entropy'; 'max_depth: 6'; 'max_features: null'; 'min_samples_split: 10'; 'n_estimators: 100']
863105,['Spring-boot', 'Spring-security'],DecisionTreeModel,implementation,['criterion: entropy'; 'max_depth: 24'; 'max_features: null'; 'min_samples_split: 5'; 'splitter: best']
863105,['Spring-boot', 'Spring-security'],LogisticRegressionModel,implementation,['C: 0.9860359896706455'; 'max_iter: 50']
863105,['Spring-boot', 'Spring-security'],GaussianNaiveBayesModel,implementation,['var_smoothing: 1e-10']
863105,['Spring-boot', 'Spring-security'],GradientBoostingRegressorModel,implementation,['max_depth: 3'; 'min_samples_split: 3'; 'n_estimators: 50']
863105,['Spring-boot', 'Spring-security'],LinearSVMModel,implementation,['C: 8.437492392810187'; 'kernel: linear'; 'shrinking: false']
863105,['Spring-boot', 'Spring-security'],RandomForestModel,implementation,['bootstrap: true'; 'criterion: entropy'; 'max_depth: 6'; 'max_features: null'; 'min_samples_split: 5'; 'n_estimators: 150']
863105,['Spring-boot', 'Spring-security'],DecisionTreeModel,implementation,['criterion: gini'; 'max_depth: 24'; 'max_features: sqrt'; 'min_samples_split: 11'; 'splitter: best']
863105,['Spring-boot', 'Spring-security'],LogisticRegressionModel,implementation,['C: 89.40260542676822'; 'max_iter: 50']
863105,['Spring-boot', 'Spring-security'],GaussianNaiveBayesModel,implementation,['var_smoothing: 1e-10']
863105,['Spring-boot', 'Spring-security'],GradientBoostingRegressorModel,implementation,['max_depth: 3'; 'min_samples_split: 3'; 'n_estimators: 100']

