config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
941600,CSV,Spring,implementation,LinearSVMModel,0.72,0.47,0.64,0.56,232,54,152,134,0.64
941600,CSV,Spring,implementation,RandomForestModel,0.69,0.47,0.63,0.55,226,60,152,134,0.63
941600,CSV,Spring,implementation,DecisionTreeModel,0.72,0.37,0.61,0.48,242,44,181,105,0.61
941600,CSV,Spring,implementation,LogisticRegressionModel,0.71,0.47,0.63,0.56,230,56,153,133,0.64
941600,CSV,Spring,implementation,GaussianNaiveBayesModel,0.74,0.23,0.57,0.35,259,27,220,66,0.57
941600,CSV,Spring,implementation,GradientBoostingRegressorModel,0.72,0.50,0.65,0.58,231,55,144,142,0.65
941600,CSV,Spring,design,LinearSVMModel,0.72,0.47,0.64,0.57,196,45,127,114,0.64
941600,CSV,Spring,design,RandomForestModel,0.75,0.51,0.66,0.59,197,44,119,122,0.66
941600,CSV,Spring,design,DecisionTreeModel,0.73,0.49,0.65,0.58,195,46,122,119,0.65
941600,CSV,Spring,design,LogisticRegressionModel,0.76,0.46,0.66,0.57,206,35,131,110,0.66
941600,CSV,Spring,design,GaussianNaiveBayesModel,0.76,0.22,0.57,0.34,224,17,188,53,0.57
941600,CSV,Spring,design,GradientBoostingRegressorModel,0.73,0.51,0.66,0.60,195,46,119,122,0.66


