config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
598037,CSV,Spring,implementation,LinearSVMModel,0.75,0.54,0.68,0.62,233,53,131,155,0.68
598037,CSV,Spring,implementation,RandomForestModel,0.74,0.69,0.72,0.71,217,69,89,197,0.72
598037,CSV,Spring,implementation,DecisionTreeModel,0.68,0.65,0.67,0.66,195,91,99,187,0.67
598037,CSV,Spring,implementation,LogisticRegressionModel,0.72,0.63,0.69,0.67,213,73,105,181,0.69
598037,CSV,Spring,implementation,GaussianNaiveBayesModel,0.71,0.25,0.58,0.37,258,28,213,73,0.58
598037,CSV,Spring,implementation,GradientBoostingRegressorModel,0.72,0.69,0.71,0.70,208,78,88,198,0.71
598037,CSV,Spring,design,LinearSVMModel,0.78,0.51,0.68,0.61,206,35,117,124,0.68
598037,CSV,Spring,design,RandomForestModel,0.76,0.71,0.74,0.73,187,54,71,170,0.74
598037,CSV,Spring,design,DecisionTreeModel,0.66,0.61,0.65,0.63,163,78,93,148,0.65
598037,CSV,Spring,design,LogisticRegressionModel,0.73,0.61,0.69,0.66,185,56,93,148,0.69
598037,CSV,Spring,design,GaussianNaiveBayesModel,0.68,0.19,0.55,0.29,220,21,195,46,0.55
598037,CSV,Spring,design,GradientBoostingRegressorModel,0.77,0.72,0.75,0.74,188,53,67,174,0.75

