config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
298025,CSV,Google-exoplayer,implementation,LinearSVMModel,0.76,0.24,0.57,0.36,113,12,95,30,0.57
298025,CSV,Google-exoplayer,implementation,RandomForestModel,0.62,0.51,0.60,0.55,86,39,61,64,0.60
298025,CSV,Google-exoplayer,implementation,DecisionTreeModel,0.63,0.54,0.60,0.58,82,43,57,68,0.60
298025,CSV,Google-exoplayer,implementation,LogisticRegressionModel,0.63,0.45,0.58,0.52,90,35,69,56,0.58
298025,CSV,Google-exoplayer,implementation,GaussianNaiveBayesModel,0.45,0.90,0.49,0.60,11,114,13,112,0.50
298025,CSV,Google-exoplayer,implementation,GradientBoostingRegressorModel,0.57,0.54,0.56,0.55,74,51,58,67,0.57
298025,CSV,Google-exoplayer,design,LinearSVMModel,0.62,0.40,0.56,0.44,59,24,50,33,0.56
298025,CSV,Google-exoplayer,design,RandomForestModel,0.61,0.58,0.60,0.59,51,32,35,48,0.60
298025,CSV,Google-exoplayer,design,DecisionTreeModel,0.64,0.37,0.57,0.46,64,19,52,31,0.57
298025,CSV,Google-exoplayer,design,LogisticRegressionModel,0.58,0.46,0.56,0.50,56,27,45,38,0.57
298025,CSV,Google-exoplayer,design,GaussianNaiveBayesModel,0.62,0.18,0.55,0.27,76,7,68,15,0.55
298025,CSV,Google-exoplayer,design,GradientBoostingRegressorModel,0.61,0.59,0.60,0.60,50,33,34,49,0.60
298025,CSV,Google-gson,implementation,LinearSVMModel,0.57,0.29,0.56,0.37,44,10,38,16,0.55
298025,CSV,Google-gson,implementation,RandomForestModel,0.58,0.64,0.60,0.60,31,23,20,34,0.60
298025,CSV,Google-gson,implementation,DecisionTreeModel,0.52,0.38,0.56,0.43,39,15,33,21,0.55
298025,CSV,Google-gson,implementation,LogisticRegressionModel,0.69,0.48,0.60,0.51,39,15,28,26,0.60
298025,CSV,Google-gson,implementation,GaussianNaiveBayesModel,0.47,0.25,0.56,0.32,47,7,40,14,0.56
298025,CSV,Google-gson,implementation,GradientBoostingRegressorModel,0.52,0.50,0.51,0.50,28,26,27,27,0.51
298025,CSV,Google-gson,design,LinearSVMModel,0.52,0.37,0.50,0.41,28,17,28,17,0.49
298025,CSV,Google-gson,design,RandomForestModel,0.66,0.78,0.68,0.71,26,19,10,35,0.68
298025,CSV,Google-gson,design,DecisionTreeModel,0.71,0.62,0.66,0.64,31,14,17,28,0.65
298025,CSV,Google-gson,design,LogisticRegressionModel,0.56,0.60,0.59,0.56,26,19,18,27,0.59
298025,CSV,Google-gson,design,GaussianNaiveBayesModel,0.48,0.19,0.54,0.26,41,4,37,8,0.55
298025,CSV,Google-gson,design,GradientBoostingRegressorModel,0.62,0.62,0.59,0.60,25,20,17,28,0.59
298025,CSV,Google-guava,implementation,LinearSVMModel,0.30,0.28,0.39,0.26,12,12,17,7,0.41
298025,CSV,Google-guava,implementation,RandomForestModel,0.47,0.58,0.47,0.50,9,15,11,13,0.47
298025,CSV,Google-guava,implementation,DecisionTreeModel,0.37,0.58,0.37,0.45,4,20,10,14,0.36
298025,CSV,Google-guava,implementation,LogisticRegressionModel,0.36,0.47,0.44,0.39,10,14,13,11,0.45
298025,CSV,Google-guava,implementation,GaussianNaiveBayesModel,0.19,0.28,0.39,0.22,13,11,18,6,0.42
298025,CSV,Google-guava,implementation,GradientBoostingRegressorModel,0.43,0.45,0.42,0.42,9,15,13,11,0.42
298025,CSV,Google-guava,design,LinearSVMModel,0.63,0.80,0.60,0.67,8,11,4,15,0.60
298025,CSV,Google-guava,design,RandomForestModel,0.53,0.45,0.56,0.47,12,7,10,9,0.55
298025,CSV,Google-guava,design,DecisionTreeModel,0.50,0.30,0.51,0.37,14,5,13,6,0.50
298025,CSV,Google-guava,design,LogisticRegressionModel,0.48,0.70,0.59,0.56,8,11,5,14,0.57
298025,CSV,Google-guava,design,GaussianNaiveBayesModel,0.12,0.15,0.53,0.13,17,2,16,3,0.53
298025,CSV,Google-guava,design,GradientBoostingRegressorModel,0.42,0.35,0.47,0.35,11,8,12,7,0.47
298025,CSV,Netflix-zuul,implementation,LinearSVMModel,0.45,0.30,0.55,0.35,16,4,14,6,0.55
298025,CSV,Netflix-zuul,implementation,RandomForestModel,0.62,0.65,0.68,0.60,14,6,7,13,0.68
298025,CSV,Netflix-zuul,implementation,DecisionTreeModel,0.57,0.55,0.62,0.53,14,6,9,11,0.62
298025,CSV,Netflix-zuul,implementation,LogisticRegressionModel,0.52,0.45,0.60,0.46,15,5,11,9,0.60
298025,CSV,Netflix-zuul,implementation,GaussianNaiveBayesModel,0.45,0.30,0.55,0.35,16,4,14,6,0.55
298025,CSV,Netflix-zuul,implementation,GradientBoostingRegressorModel,0.53,0.55,0.62,0.51,14,6,9,11,0.62
298025,CSV,Netflix-zuul,design,LinearSVMModel,0.30,0.25,0.53,0.25,14,3,13,4,0.55
298025,CSV,Netflix-zuul,design,RandomForestModel,0.52,0.50,0.56,0.46,11,6,9,8,0.60
298025,CSV,Netflix-zuul,design,DecisionTreeModel,0.75,0.55,0.65,0.60,13,4,8,9,0.68
298025,CSV,Netflix-zuul,design,LogisticRegressionModel,0.37,0.30,0.53,0.31,12,5,11,6,0.50
298025,CSV,Netflix-zuul,design,GaussianNaiveBayesModel,0.45,0.25,0.57,0.32,15,2,12,5,0.57
298025,CSV,Netflix-zuul,design,GradientBoostingRegressorModel,0.37,0.45,0.42,0.37,7,10,10,7,0.42
298025,CSV,Netflix-Hystrix,implementation,LinearSVMModel,0.75,0.46,0.66,0.55,66,11,42,35,0.66
298025,CSV,Netflix-Hystrix,implementation,RandomForestModel,0.72,0.53,0.66,0.59,61,16,36,41,0.66
298025,CSV,Netflix-Hystrix,implementation,DecisionTreeModel,0.75,0.59,0.70,0.66,62,15,31,46,0.70
298025,CSV,Netflix-Hystrix,implementation,LogisticRegressionModel,0.74,0.51,0.66,0.59,63,14,38,39,0.67
298025,CSV,Netflix-Hystrix,implementation,GaussianNaiveBayesModel,0.75,0.25,0.59,0.35,71,6,58,19,0.59
298025,CSV,Netflix-Hystrix,implementation,GradientBoostingRegressorModel,0.68,0.56,0.63,0.60,54,23,34,43,0.63
298025,CSV,Netflix-Hystrix,design,LinearSVMModel,0.76,0.56,0.67,0.63,54,15,30,39,0.68
298025,CSV,Netflix-Hystrix,design,RandomForestModel,0.81,0.64,0.75,0.70,59,10,25,44,0.75
298025,CSV,Netflix-Hystrix,design,DecisionTreeModel,0.85,0.61,0.75,0.69,61,8,27,42,0.75
298025,CSV,Netflix-Hystrix,design,LogisticRegressionModel,0.78,0.55,0.70,0.64,58,11,31,38,0.70
298025,CSV,Netflix-Hystrix,design,GaussianNaiveBayesModel,0.89,0.30,0.62,0.43,65,4,48,21,0.62
298025,CSV,Netflix-Hystrix,design,GradientBoostingRegressorModel,0.80,0.59,0.70,0.65,56,13,29,40,0.70
298025,CSV,Netflix-conductor,implementation,LinearSVMModel,0.75,0.20,0.56,0.31,205,16,177,44,0.56
298025,CSV,Netflix-conductor,implementation,RandomForestModel,0.59,0.51,0.57,0.54,140,81,109,112,0.57
298025,CSV,Netflix-conductor,implementation,DecisionTreeModel,0.57,0.48,0.55,0.51,138,83,115,106,0.55
298025,CSV,Netflix-conductor,implementation,LogisticRegressionModel,0.63,0.37,0.57,0.46,172,49,139,82,0.57
298025,CSV,Netflix-conductor,implementation,GaussianNaiveBayesModel,0.67,0.24,0.57,0.36,196,25,167,54,0.57
298025,CSV,Netflix-conductor,implementation,GradientBoostingRegressorModel,0.60,0.56,0.59,0.57,139,82,98,123,0.59
298025,CSV,Netflix-conductor,design,LinearSVMModel,0.72,0.25,0.57,0.35,113,15,96,32,0.57
298025,CSV,Netflix-conductor,design,RandomForestModel,0.63,0.53,0.61,0.57,88,40,60,68,0.61
298025,CSV,Netflix-conductor,design,DecisionTreeModel,0.60,0.58,0.60,0.58,79,49,54,74,0.60
298025,CSV,Netflix-conductor,design,LogisticRegressionModel,0.63,0.41,0.60,0.48,102,26,76,52,0.60
298025,CSV,Netflix-conductor,design,GaussianNaiveBayesModel,0.74,0.27,0.58,0.38,115,13,94,34,0.58
298025,CSV,Netflix-conductor,design,GradientBoostingRegressorModel,0.57,0.47,0.56,0.51,83,45,68,60,0.56
298025,CSV,Netflix-eureka,implementation,LinearSVMModel,0.81,0.28,0.59,0.39,56,6,45,17,0.59
298025,CSV,Netflix-eureka,implementation,RandomForestModel,0.76,0.58,0.69,0.64,49,13,26,36,0.69
298025,CSV,Netflix-eureka,implementation,DecisionTreeModel,0.69,0.50,0.64,0.54,48,14,31,31,0.64
298025,CSV,Netflix-eureka,implementation,LogisticRegressionModel,0.72,0.44,0.62,0.52,50,12,35,27,0.62
298025,CSV,Netflix-eureka,implementation,GaussianNaiveBayesModel,0.74,0.33,0.60,0.43,54,8,42,20,0.60
298025,CSV,Netflix-eureka,implementation,GradientBoostingRegressorModel,0.74,0.60,0.67,0.65,46,16,25,37,0.67
298025,CSV,Netflix-eureka,design,LinearSVMModel,0.79,0.45,0.62,0.52,36,8,25,19,0.64
298025,CSV,Netflix-eureka,design,RandomForestModel,0.69,0.76,0.71,0.72,28,16,10,34,0.70
298025,CSV,Netflix-eureka,design,DecisionTreeModel,0.67,0.82,0.69,0.73,25,19,8,36,0.70
298025,CSV,Netflix-eureka,design,LogisticRegressionModel,0.64,0.50,0.64,0.54,34,10,22,22,0.64
298025,CSV,Netflix-eureka,design,GaussianNaiveBayesModel,0.80,0.35,0.62,0.47,40,4,29,15,0.62
298025,CSV,Netflix-eureka,design,GradientBoostingRegressorModel,0.74,0.60,0.66,0.61,31,13,17,27,0.66
298025,CSV,Spring-boot,implementation,LinearSVMModel,0.60,0.34,0.61,0.42,41,6,31,16,0.61
298025,CSV,Spring-boot,implementation,RandomForestModel,0.64,0.49,0.60,0.54,33,14,24,23,0.60
298025,CSV,Spring-boot,implementation,DecisionTreeModel,0.64,0.55,0.61,0.56,31,16,21,26,0.61
298025,CSV,Spring-boot,implementation,LogisticRegressionModel,0.63,0.47,0.61,0.52,35,12,25,22,0.61
298025,CSV,Spring-boot,implementation,GaussianNaiveBayesModel,0.43,0.14,0.54,0.21,44,3,40,7,0.54
298025,CSV,Spring-boot,implementation,GradientBoostingRegressorModel,0.61,0.58,0.62,0.58,31,16,20,27,0.62
298025,CSV,Spring-boot,design,LinearSVMModel,0.33,0.12,0.51,0.17,39,4,38,5,0.52
298025,CSV,Spring-boot,design,RandomForestModel,0.48,0.28,0.49,0.32,30,13,31,12,0.49
298025,CSV,Spring-boot,design,DecisionTreeModel,0.44,0.45,0.47,0.43,21,22,23,20,0.47
298025,CSV,Spring-boot,design,LogisticRegressionModel,0.55,0.34,0.49,0.38,28,15,29,14,0.50
298025,CSV,Spring-boot,design,GaussianNaiveBayesModel,0.40,0.19,0.52,0.23,37,6,35,8,0.52
298025,CSV,Spring-boot,design,GradientBoostingRegressorModel,0.42,0.48,0.46,0.43,19,24,22,21,0.46
298025,CSV,Spring-security,implementation,LinearSVMModel,0.54,0.41,0.52,0.46,152,87,140,99,0.52
298025,CSV,Spring-security,implementation,RandomForestModel,0.66,0.59,0.63,0.61,163,76,99,140,0.63
298025,CSV,Spring-security,implementation,DecisionTreeModel,0.59,0.61,0.59,0.59,138,101,94,145,0.59
298025,CSV,Spring-security,implementation,LogisticRegressionModel,0.55,0.49,0.54,0.52,142,97,121,118,0.54
298025,CSV,Spring-security,implementation,GaussianNaiveBayesModel,0.51,0.59,0.52,0.53,105,134,97,142,0.52
298025,CSV,Spring-security,implementation,GradientBoostingRegressorModel,0.56,0.57,0.56,0.56,133,106,103,136,0.56
298025,CSV,Spring-security,design,LinearSVMModel,0.57,0.52,0.56,0.54,119,79,96,102,0.56
298025,CSV,Spring-security,design,RandomForestModel,0.61,0.64,0.61,0.62,116,82,71,127,0.61
298025,CSV,Spring-security,design,DecisionTreeModel,0.54,0.46,0.53,0.49,119,79,107,91,0.53
298025,CSV,Spring-security,design,LogisticRegressionModel,0.57,0.59,0.57,0.58,109,89,82,116,0.57
298025,CSV,Spring-security,design,GaussianNaiveBayesModel,0.53,0.09,0.52,0.14,188,10,181,17,0.52
298025,CSV,Spring-security,design,GradientBoostingRegressorModel,0.58,0.59,0.58,0.58,113,85,82,116,0.58
,,,,,,,,,,,,,
,,,,,,,,,,,,,
