project,type,model,test_precision,test_recall,test_f1,test_accuracy
Google-exoplayer,design,DecisionTreeModel,0.64,0.37,0.46,0.57
Google-exoplayer,design,GaussianNaiveBayesModel,0.62,0.18,0.27,0.55
Google-exoplayer,design,GradientBoostingRegressorModel,0.61,0.59,0.6,0.6
Google-exoplayer,design,LinearSVMModel,0.62,0.4,0.44,0.56
Google-exoplayer,design,LogisticRegressionModel,0.58,0.46,0.5,0.56
Google-exoplayer,design,RandomForestModel,0.61,0.58,0.59,0.6
Google-exoplayer,implementation,DecisionTreeModel,0.63,0.54,0.58,0.6
Google-exoplayer,implementation,GaussianNaiveBayesModel,0.45,0.9,0.6,0.49
Google-exoplayer,implementation,GradientBoostingRegressorModel,0.57,0.54,0.55,0.56
Google-exoplayer,implementation,LinearSVMModel,0.76,0.24,0.36,0.57
Google-exoplayer,implementation,LogisticRegressionModel,0.63,0.45,0.52,0.58
Google-exoplayer,implementation,RandomForestModel,0.62,0.51,0.55,0.6
Google-gson,design,DecisionTreeModel,0.71,0.62,0.64,0.66
Google-gson,design,GaussianNaiveBayesModel,0.48,0.19,0.26,0.54
Google-gson,design,GradientBoostingRegressorModel,0.62,0.62,0.6,0.59
Google-gson,design,LinearSVMModel,0.52,0.37,0.41,0.5
Google-gson,design,LogisticRegressionModel,0.56,0.6,0.56,0.59
Google-gson,design,RandomForestModel,0.66,0.78,0.71,0.68
Google-gson,implementation,DecisionTreeModel,0.52,0.38,0.43,0.56
Google-gson,implementation,GaussianNaiveBayesModel,0.47,0.25,0.32,0.56
Google-gson,implementation,GradientBoostingRegressorModel,0.52,0.5,0.5,0.51
Google-gson,implementation,LinearSVMModel,0.57,0.29,0.37,0.56
Google-gson,implementation,LogisticRegressionModel,0.69,0.48,0.51,0.6
Google-gson,implementation,RandomForestModel,0.58,0.64,0.6,0.6
Google-guava,design,DecisionTreeModel,0.5,0.3,0.37,0.51
Google-guava,design,GaussianNaiveBayesModel,0.12,0.15,0.13,0.53
Google-guava,design,GradientBoostingRegressorModel,0.42,0.35,0.35,0.47
Google-guava,design,LinearSVMModel,0.63,0.8,0.67,0.6
Google-guava,design,LogisticRegressionModel,0.48,0.7,0.56,0.59
Google-guava,design,RandomForestModel,0.53,0.45,0.47,0.56
Google-guava,implementation,DecisionTreeModel,0.37,0.58,0.45,0.37
Google-guava,implementation,GaussianNaiveBayesModel,0.19,0.28,0.22,0.39
Google-guava,implementation,GradientBoostingRegressorModel,0.43,0.45,0.42,0.42
Google-guava,implementation,LinearSVMModel,0.3,0.28,0.26,0.39
Google-guava,implementation,LogisticRegressionModel,0.36,0.47,0.39,0.44
Google-guava,implementation,RandomForestModel,0.47,0.58,0.5,0.47
Netflix-Hystrix,design,DecisionTreeModel,0.85,0.61,0.69,0.75
Netflix-Hystrix,design,GaussianNaiveBayesModel,0.89,0.3,0.43,0.62
Netflix-Hystrix,design,GradientBoostingRegressorModel,0.8,0.59,0.65,0.7
Netflix-Hystrix,design,LinearSVMModel,0.76,0.56,0.63,0.67
Netflix-Hystrix,design,LogisticRegressionModel,0.78,0.55,0.64,0.7
Netflix-Hystrix,design,RandomForestModel,0.81,0.64,0.7,0.75
Netflix-Hystrix,implementation,DecisionTreeModel,0.75,0.59,0.66,0.7
Netflix-Hystrix,implementation,GaussianNaiveBayesModel,0.75,0.25,0.35,0.59
Netflix-Hystrix,implementation,GradientBoostingRegressorModel,0.68,0.56,0.6,0.63
Netflix-Hystrix,implementation,LinearSVMModel,0.75,0.46,0.55,0.66
Netflix-Hystrix,implementation,LogisticRegressionModel,0.74,0.51,0.59,0.66
Netflix-Hystrix,implementation,RandomForestModel,0.72,0.53,0.59,0.66
Netflix-conductor,design,DecisionTreeModel,0.6,0.58,0.58,0.6
Netflix-conductor,design,GaussianNaiveBayesModel,0.74,0.27,0.38,0.58
Netflix-conductor,design,GradientBoostingRegressorModel,0.57,0.47,0.51,0.56
Netflix-conductor,design,LinearSVMModel,0.72,0.25,0.35,0.57
Netflix-conductor,design,LogisticRegressionModel,0.63,0.41,0.48,0.6
Netflix-conductor,design,RandomForestModel,0.63,0.53,0.57,0.61
Netflix-conductor,implementation,DecisionTreeModel,0.57,0.48,0.51,0.55
Netflix-conductor,implementation,GaussianNaiveBayesModel,0.67,0.24,0.36,0.57
Netflix-conductor,implementation,GradientBoostingRegressorModel,0.6,0.56,0.57,0.59
Netflix-conductor,implementation,LinearSVMModel,0.75,0.2,0.31,0.56
Netflix-conductor,implementation,LogisticRegressionModel,0.63,0.37,0.46,0.57
Netflix-conductor,implementation,RandomForestModel,0.59,0.51,0.54,0.57
Netflix-eureka,design,DecisionTreeModel,0.67,0.82,0.73,0.69
Netflix-eureka,design,GaussianNaiveBayesModel,0.8,0.35,0.47,0.62
Netflix-eureka,design,GradientBoostingRegressorModel,0.74,0.6,0.61,0.66
Netflix-eureka,design,LinearSVMModel,0.79,0.45,0.52,0.62
Netflix-eureka,design,LogisticRegressionModel,0.64,0.5,0.54,0.64
Netflix-eureka,design,RandomForestModel,0.69,0.76,0.72,0.71
Netflix-eureka,implementation,DecisionTreeModel,0.69,0.5,0.54,0.64
Netflix-eureka,implementation,GaussianNaiveBayesModel,0.74,0.33,0.43,0.6
Netflix-eureka,implementation,GradientBoostingRegressorModel,0.74,0.6,0.65,0.67
Netflix-eureka,implementation,LinearSVMModel,0.81,0.28,0.39,0.59
Netflix-eureka,implementation,LogisticRegressionModel,0.72,0.44,0.52,0.62
