config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
702096,CSV,Google-exoplayer,implementation,LinearSVMModel,0.71,0.21,0.56,0.32,113,12,99,26,0.56
702096,CSV,Google-exoplayer,implementation,RandomForestModel,0.63,0.49,0.59,0.54,87,38,64,61,0.59
702096,CSV,Google-exoplayer,implementation,DecisionTreeModel,0.71,0.42,0.61,0.52,100,25,72,53,0.61
702096,CSV,Google-exoplayer,implementation,LogisticRegressionModel,0.67,0.39,0.58,0.48,97,28,76,49,0.58
702096,CSV,Google-exoplayer,implementation,GaussianNaiveBayesModel,0.66,0.20,0.56,0.29,114,11,100,25,0.56
702096,CSV,Google-exoplayer,implementation,GradientBoostingRegressorModel,0.64,0.46,0.59,0.53,90,35,67,58,0.59
702096,CSV,Google-exoplayer,design,LinearSVMModel,0.59,0.52,0.54,0.52,46,37,40,43,0.54
702096,CSV,Google-exoplayer,design,RandomForestModel,0.55,0.53,0.54,0.52,46,37,39,44,0.54
702096,CSV,Google-exoplayer,design,DecisionTreeModel,0.58,0.50,0.57,0.52,53,30,42,41,0.57
702096,CSV,Google-exoplayer,design,LogisticRegressionModel,0.63,0.47,0.59,0.53,58,25,44,39,0.59
702096,CSV,Google-exoplayer,design,GaussianNaiveBayesModel,0.57,0.19,0.56,0.28,77,6,67,16,0.56
702096,CSV,Google-exoplayer,design,GradientBoostingRegressorModel,0.57,0.52,0.58,0.53,53,30,40,43,0.58
702096,CSV,Google-gson,implementation,LinearSVMModel,0.71,0.32,0.54,0.40,42,12,37,17,0.55
702096,CSV,Google-gson,implementation,RandomForestModel,0.59,0.56,0.59,0.56,33,21,24,30,0.59
702096,CSV,Google-gson,implementation,DecisionTreeModel,0.63,0.58,0.64,0.58,37,17,22,32,0.63
702096,CSV,Google-gson,implementation,LogisticRegressionModel,0.59,0.49,0.61,0.51,39,15,27,27,0.61
702096,CSV,Google-gson,implementation,GaussianNaiveBayesModel,0.53,0.28,0.59,0.36,49,5,39,15,0.59
702096,CSV,Google-gson,implementation,GradientBoostingRegressorModel,0.49,0.44,0.52,0.46,32,22,30,24,0.52
702096,CSV,Google-gson,design,LinearSVMModel,0.60,0.51,0.58,0.54,29,16,22,23,0.57
702096,CSV,Google-gson,design,RandomForestModel,0.54,0.44,0.54,0.45,29,16,25,20,0.54
702096,CSV,Google-gson,design,DecisionTreeModel,0.63,0.23,0.54,0.32,39,6,35,10,0.55
702096,CSV,Google-gson,design,LogisticRegressionModel,0.65,0.57,0.60,0.58,28,17,19,26,0.59
702096,CSV,Google-gson,design,GaussianNaiveBayesModel,0.46,0.18,0.54,0.23,41,4,37,8,0.55
702096,CSV,Google-gson,design,GradientBoostingRegressorModel,0.63,0.42,0.54,0.47,30,15,26,19,0.55
702096,CSV,Google-guava,implementation,LinearSVMModel,0.51,0.50,0.57,0.47,15,9,12,12,0.58
702096,CSV,Google-guava,implementation,RandomForestModel,0.36,0.45,0.45,0.39,10,14,13,11,0.43
702096,CSV,Google-guava,implementation,DecisionTreeModel,0.50,0.48,0.54,0.47,15,9,13,11,0.55
702096,CSV,Google-guava,implementation,LogisticRegressionModel,0.44,0.45,0.47,0.40,13,11,14,10,0.50
702096,CSV,Google-guava,implementation,GaussianNaiveBayesModel,0.20,0.20,0.43,0.17,16,8,19,5,0.43
702096,CSV,Google-guava,implementation,GradientBoostingRegressorModel,0.55,0.67,0.55,0.56,11,13,9,15,0.57
702096,CSV,Google-guava,design,LinearSVMModel,0.60,0.85,0.66,0.68,9,10,3,16,0.65
702096,CSV,Google-guava,design,RandomForestModel,0.60,0.60,0.61,0.57,12,7,8,11,0.62
702096,CSV,Google-guava,design,DecisionTreeModel,0.45,0.30,0.52,0.35,14,5,13,6,0.53
702096,CSV,Google-guava,design,LogisticRegressionModel,0.58,0.75,0.58,0.63,8,11,5,14,0.57
702096,CSV,Google-guava,design,GaussianNaiveBayesModel,0.20,0.10,0.50,0.13,17,2,17,2,0.50
702096,CSV,Google-guava,design,GradientBoostingRegressorModel,0.43,0.45,0.57,0.43,13,6,10,9,0.57
