config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
667796,CSV,Google-exoplayer,implementation,LinearSVMModel,0.65,0.10,0.54,0.16,122,3,113,12,0.54
667796,CSV,Google-exoplayer,implementation,RandomForestModel,0.58,0.55,0.58,0.56,75,50,56,69,0.58
667796,CSV,Google-exoplayer,implementation,DecisionTreeModel,0.59,0.58,0.58,0.58,72,53,52,73,0.58
667796,CSV,Google-exoplayer,implementation,LogisticRegressionModel,0.55,0.37,0.53,0.43,87,38,79,46,0.53
667796,CSV,Google-exoplayer,implementation,GaussianNaiveBayesModel,0.61,0.22,0.54,0.31,108,17,98,27,0.54
667796,CSV,Google-exoplayer,implementation,GradientBoostingRegressorModel,0.53,0.58,0.54,0.55,63,62,52,73,0.54
667796,CSV,Google-exoplayer,design,LinearSVMModel,0.53,0.14,0.52,0.22,75,8,71,12,0.52
667796,CSV,Google-exoplayer,design,RandomForestModel,0.57,0.48,0.55,0.51,51,32,43,40,0.55
667796,CSV,Google-exoplayer,design,DecisionTreeModel,0.59,0.50,0.59,0.53,57,26,41,42,0.59
667796,CSV,Google-exoplayer,design,LogisticRegressionModel,0.57,0.38,0.52,0.43,56,27,52,31,0.52
667796,CSV,Google-exoplayer,design,GaussianNaiveBayesModel,0.55,0.18,0.52,0.26,72,11,68,15,0.52
667796,CSV,Google-exoplayer,design,GradientBoostingRegressorModel,0.58,0.58,0.58,0.57,48,35,35,48,0.58
667796,CSV,Google-gson,implementation,LinearSVMModel,0.43,0.18,0.49,0.24,43,11,44,10,0.49
667796,CSV,Google-gson,implementation,RandomForestModel,0.95,0.31,0.64,0.44,52,2,37,17,0.64
667796,CSV,Google-gson,implementation,DecisionTreeModel,0.79,0.33,0.63,0.44,50,4,36,18,0.63
667796,CSV,Google-gson,implementation,LogisticRegressionModel,0.47,0.38,0.53,0.41,37,17,33,21,0.54
667796,CSV,Google-gson,implementation,GaussianNaiveBayesModel,0.70,0.17,0.55,0.27,50,4,45,9,0.55
667796,CSV,Google-gson,implementation,GradientBoostingRegressorModel,0.60,0.66,0.62,0.62,31,23,18,36,0.62
667796,CSV,Google-gson,design,LinearSVMModel,0.53,0.33,0.57,0.36,36,9,30,15,0.56
667796,CSV,Google-gson,design,RandomForestModel,0.62,0.66,0.62,0.64,26,19,15,30,0.62
667796,CSV,Google-gson,design,DecisionTreeModel,0.52,0.51,0.54,0.50,26,19,22,23,0.54
667796,CSV,Google-gson,design,LogisticRegressionModel,0.71,0.49,0.63,0.55,35,10,23,22,0.63
667796,CSV,Google-gson,design,GaussianNaiveBayesModel,0.63,0.26,0.60,0.35,42,3,33,12,0.59
667796,CSV,Google-gson,design,GradientBoostingRegressorModel,0.60,0.61,0.64,0.58,30,15,17,28,0.63
667796,CSV,Google-guava,implementation,LinearSVMModel,0.16,0.18,0.38,0.14,14,10,20,4,0.42
667796,CSV,Google-guava,implementation,RandomForestModel,0.44,0.45,0.39,0.42,8,16,13,11,0.39
667796,CSV,Google-guava,implementation,DecisionTreeModel,0.28,0.30,0.33,0.28,9,15,17,7,0.33
667796,CSV,Google-guava,implementation,LogisticRegressionModel,0.32,0.22,0.37,0.24,12,12,19,5,0.38
667796,CSV,Google-guava,implementation,GaussianNaiveBayesModel,0.34,0.42,0.33,0.34,6,18,14,10,0.34
667796,CSV,Google-guava,implementation,GradientBoostingRegressorModel,0.55,0.48,0.42,0.44,9,15,13,11,0.46
667796,CSV,Google-guava,design,LinearSVMModel,0.20,0.10,0.50,0.13,17,2,17,2,0.50
667796,CSV,Google-guava,design,RandomForestModel,0.38,0.50,0.49,0.43,9,10,9,10,0.50
667796,CSV,Google-guava,design,DecisionTreeModel,0.42,0.55,0.42,0.46,6,13,9,10,0.42
667796,CSV,Google-guava,design,LogisticRegressionModel,0.70,0.55,0.57,0.56,12,7,9,10,0.60
667796,CSV,Google-guava,design,GaussianNaiveBayesModel,0.40,0.25,0.53,0.30,16,3,14,5,0.55
667796,CSV,Google-guava,design,GradientBoostingRegressorModel,0.28,0.45,0.33,0.34,4,15,11,8,0.33
667796,CSV,Spring-boot,implementation,LinearSVMModel,0.49,0.24,0.49,0.30,35,12,36,11,0.49
667796,CSV,Spring-boot,implementation,RandomForestModel,0.53,0.67,0.49,0.56,15,32,16,31,0.50
667796,CSV,Spring-boot,implementation,DecisionTreeModel,0.64,0.54,0.61,0.55,32,15,22,25,0.61
667796,CSV,Spring-boot,implementation,LogisticRegressionModel,0.38,0.30,0.45,0.32,28,19,33,14,0.45
667796,CSV,Spring-boot,implementation,GaussianNaiveBayesModel,0.48,0.20,0.57,0.27,44,3,38,9,0.56
667796,CSV,Spring-boot,implementation,GradientBoostingRegressorModel,0.46,0.49,0.54,0.47,28,19,24,23,0.55
667796,CSV,Spring-boot,design,LinearSVMModel,0.42,0.66,0.53,0.50,18,25,16,27,0.54
667796,CSV,Spring-boot,design,RandomForestModel,0.76,0.35,0.53,0.42,31,12,28,15,0.53
667796,CSV,Spring-boot,design,DecisionTreeModel,0.44,0.44,0.39,0.41,15,28,24,19,0.40
667796,CSV,Spring-boot,design,LogisticRegressionModel,0.47,0.53,0.52,0.49,22,21,20,23,0.52
667796,CSV,Spring-boot,design,GaussianNaiveBayesModel,0.70,0.19,0.56,0.30,40,3,35,8,0.56
667796,CSV,Spring-boot,design,GradientBoostingRegressorModel,0.42,0.47,0.43,0.43,17,26,23,20,0.43
667796,CSV,Spring-security,implementation,LinearSVMModel,0.71,0.27,0.58,0.38,211,28,175,64,0.58
667796,CSV,Spring-security,implementation,RandomForestModel,0.63,0.50,0.60,0.55,167,72,120,119,0.60
667796,CSV,Spring-security,implementation,DecisionTreeModel,0.54,0.46,0.54,0.50,146,93,129,110,0.54
667796,CSV,Spring-security,implementation,LogisticRegressionModel,0.57,0.47,0.55,0.51,152,87,127,112,0.55
667796,CSV,Spring-security,implementation,GaussianNaiveBayesModel,0.66,0.26,0.56,0.37,206,33,176,63,0.56
667796,CSV,Spring-security,implementation,GradientBoostingRegressorModel,0.57,0.48,0.55,0.52,150,89,124,115,0.55
667796,CSV,Spring-security,design,LinearSVMModel,0.66,0.19,0.55,0.29,178,20,160,38,0.55
667796,CSV,Spring-security,design,RandomForestModel,0.59,0.61,0.59,0.60,113,85,77,121,0.59
667796,CSV,Spring-security,design,DecisionTreeModel,0.63,0.37,0.57,0.46,154,44,125,73,0.57
667796,CSV,Spring-security,design,LogisticRegressionModel,0.59,0.36,0.55,0.44,148,50,127,71,0.55
667796,CSV,Spring-security,design,GaussianNaiveBayesModel,0.70,0.24,0.57,0.35,176,22,150,48,0.57
667796,CSV,Spring-security,design,GradientBoostingRegressorModel,0.63,0.60,0.62,0.61,127,71,79,119,0.62
667796,CSV,Netflix-zuul,implementation,LinearSVMModel,0.57,0.45,0.68,0.48,18,2,11,9,0.68
667796,CSV,Netflix-zuul,implementation,RandomForestModel,0.60,0.65,0.68,0.59,14,6,7,13,0.68
667796,CSV,Netflix-zuul,implementation,DecisionTreeModel,0.70,0.55,0.72,0.60,18,2,9,11,0.72
667796,CSV,Netflix-zuul,implementation,LogisticRegressionModel,0.57,0.55,0.62,0.53,14,6,9,11,0.62
667796,CSV,Netflix-zuul,implementation,GaussianNaiveBayesModel,0.55,0.50,0.62,0.49,15,5,10,10,0.62
667796,CSV,Netflix-zuul,implementation,GradientBoostingRegressorModel,0.37,0.35,0.50,0.33,13,7,13,7,0.50
667796,CSV,Netflix-zuul,design,LinearSVMModel,0.47,0.60,0.55,0.48,10,7,8,9,0.60
667796,CSV,Netflix-zuul,design,RandomForestModel,0.63,0.70,0.72,0.66,13,4,5,12,0.70
667796,CSV,Netflix-zuul,design,DecisionTreeModel,0.55,0.55,0.59,0.53,11,6,8,9,0.60
667796,CSV,Netflix-zuul,design,LogisticRegressionModel,0.42,0.50,0.56,0.45,11,6,9,8,0.55
667796,CSV,Netflix-zuul,design,GaussianNaiveBayesModel,0.73,0.60,0.67,0.64,12,5,7,10,0.68
667796,CSV,Netflix-zuul,design,GradientBoostingRegressorModel,0.67,0.70,0.71,0.65,12,5,5,12,0.72
667796,CSV,Netflix-Hystrix,implementation,LinearSVMModel,0.72,0.38,0.64,0.48,69,8,48,29,0.64
667796,CSV,Netflix-Hystrix,implementation,RandomForestModel,0.66,0.45,0.62,0.52,61,16,42,35,0.62
667796,CSV,Netflix-Hystrix,implementation,DecisionTreeModel,0.60,0.46,0.57,0.51,53,24,42,35,0.57
667796,CSV,Netflix-Hystrix,implementation,LogisticRegressionModel,0.66,0.44,0.62,0.51,62,15,43,34,0.63
667796,CSV,Netflix-Hystrix,implementation,GaussianNaiveBayesModel,0.78,0.31,0.59,0.42,67,10,53,24,0.59
667796,CSV,Netflix-Hystrix,implementation,GradientBoostingRegressorModel,0.56,0.46,0.55,0.50,49,28,42,35,0.55
667796,CSV,Netflix-Hystrix,design,LinearSVMModel,0.59,0.35,0.62,0.42,62,7,45,24,0.63
667796,CSV,Netflix-Hystrix,design,RandomForestModel,0.78,0.62,0.70,0.67,54,15,26,43,0.70
667796,CSV,Netflix-Hystrix,design,DecisionTreeModel,0.76,0.64,0.72,0.68,55,14,25,44,0.72
667796,CSV,Netflix-Hystrix,design,LogisticRegressionModel,0.83,0.49,0.68,0.59,60,9,35,34,0.68
667796,CSV,Netflix-Hystrix,design,GaussianNaiveBayesModel,0.89,0.40,0.67,0.53,64,5,41,28,0.67
667796,CSV,Netflix-Hystrix,design,GradientBoostingRegressorModel,0.79,0.52,0.67,0.60,57,12,33,36,0.67
667796,CSV,Netflix-conductor,implementation,LinearSVMModel,0.69,0.39,0.59,0.48,176,45,135,86,0.59
667796,CSV,Netflix-conductor,implementation,RandomForestModel,0.60,0.52,0.58,0.55,143,78,106,115,0.58
667796,CSV,Netflix-conductor,implementation,DecisionTreeModel,0.63,0.38,0.59,0.46,178,43,138,83,0.59
667796,CSV,Netflix-conductor,implementation,LogisticRegressionModel,0.63,0.48,0.59,0.53,155,66,116,105,0.59
667796,CSV,Netflix-conductor,implementation,GaussianNaiveBayesModel,0.71,0.32,0.59,0.43,190,31,151,70,0.59
667796,CSV,Netflix-conductor,implementation,GradientBoostingRegressorModel,0.64,0.56,0.62,0.59,151,70,98,123,0.62
667796,CSV,Netflix-conductor,design,LinearSVMModel,0.68,0.33,0.59,0.44,110,18,86,42,0.59
667796,CSV,Netflix-conductor,design,RandomForestModel,0.56,0.51,0.55,0.53,75,53,63,65,0.55
667796,CSV,Netflix-conductor,design,DecisionTreeModel,0.56,0.35,0.56,0.41,98,30,83,45,0.56
667796,CSV,Netflix-conductor,design,LogisticRegressionModel,0.63,0.47,0.59,0.53,90,38,68,60,0.59
667796,CSV,Netflix-conductor,design,GaussianNaiveBayesModel,0.73,0.30,0.59,0.40,112,16,90,38,0.59
667796,CSV,Netflix-conductor,design,GradientBoostingRegressorModel,0.54,0.51,0.55,0.51,74,54,62,66,0.54
667796,CSV,Netflix-eureka,implementation,LinearSVMModel,0.70,0.25,0.58,0.33,56,6,46,16,0.58
667796,CSV,Netflix-eureka,implementation,RandomForestModel,0.64,0.63,0.64,0.62,41,21,23,39,0.64
667796,CSV,Netflix-eureka,implementation,DecisionTreeModel,0.63,0.56,0.61,0.57,41,21,27,35,0.61
667796,CSV,Netflix-eureka,implementation,LogisticRegressionModel,0.66,0.42,0.62,0.50,51,11,36,26,0.62
667796,CSV,Netflix-eureka,implementation,GaussianNaiveBayesModel,0.82,0.40,0.64,0.52,55,7,37,25,0.65
667796,CSV,Netflix-eureka,implementation,GradientBoostingRegressorModel,0.58,0.43,0.57,0.48,44,18,35,27,0.57
667796,CSV,Netflix-eureka,design,LinearSVMModel,0.48,0.27,0.54,0.32,35,9,32,12,0.54
667796,CSV,Netflix-eureka,design,RandomForestModel,0.70,0.64,0.65,0.63,29,15,16,28,0.65
667796,CSV,Netflix-eureka,design,DecisionTreeModel,0.70,0.50,0.61,0.55,32,12,22,22,0.61
667796,CSV,Netflix-eureka,design,LogisticRegressionModel,0.56,0.45,0.54,0.48,28,16,24,20,0.55
667796,CSV,Netflix-eureka,design,GaussianNaiveBayesModel,0.55,0.30,0.60,0.37,39,5,30,14,0.59
667796,CSV,Netflix-eureka,design,GradientBoostingRegressorModel,0.57,0.57,0.58,0.55,25,19,18,26,0.57

