config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
220069,CSV,Google-exoplayer,implementation,LinearSVMModel,0.73,0.09,0.54,0.15,123,2,114,11,0.54
220069,CSV,Google-exoplayer,implementation,RandomForestModel,0.51,0.44,0.51,0.46,72,53,70,55,0.51
220069,CSV,Google-exoplayer,implementation,DecisionTreeModel,0.60,0.43,0.58,0.49,91,34,71,54,0.58
220069,CSV,Google-exoplayer,implementation,LogisticRegressionModel,0.68,0.42,0.60,0.51,96,29,72,53,0.60
220069,CSV,Google-exoplayer,implementation,GaussianNaiveBayesModel,0.68,0.20,0.55,0.30,113,12,100,25,0.55
220069,CSV,Google-exoplayer,implementation,GradientBoostingRegressorModel,0.52,0.46,0.52,0.48,72,53,68,57,0.52
220069,CSV,Google-exoplayer,design,LinearSVMModel,0.45,0.08,0.51,0.14,77,6,76,7,0.51
220069,CSV,Google-exoplayer,design,RandomForestModel,0.66,0.56,0.60,0.59,54,29,37,46,0.60
220069,CSV,Google-exoplayer,design,DecisionTreeModel,0.48,0.41,0.49,0.42,47,36,49,34,0.49
220069,CSV,Google-exoplayer,design,LogisticRegressionModel,0.54,0.43,0.54,0.47,54,29,47,36,0.54
220069,CSV,Google-exoplayer,design,GaussianNaiveBayesModel,0.67,0.22,0.55,0.32,73,10,65,18,0.55
220069,CSV,Google-exoplayer,design,GradientBoostingRegressorModel,0.57,0.61,0.57,0.58,44,39,32,51,0.57
220069,CSV,Google-gson,implementation,LinearSVMModel,0.45,0.14,0.56,0.21,53,1,46,8,0.56
220069,CSV,Google-gson,implementation,RandomForestModel,0.63,0.60,0.62,0.60,35,19,22,32,0.62
220069,CSV,Google-gson,implementation,DecisionTreeModel,0.71,0.57,0.67,0.63,41,13,23,31,0.66
220069,CSV,Google-gson,implementation,LogisticRegressionModel,0.73,0.42,0.61,0.49,43,11,32,22,0.61
220069,CSV,Google-gson,implementation,GaussianNaiveBayesModel,0.48,0.65,0.48,0.53,18,36,20,34,0.49
220069,CSV,Google-gson,implementation,GradientBoostingRegressorModel,0.61,0.48,0.61,0.50,40,14,28,26,0.62
220069,CSV,Google-gson,design,LinearSVMModel,0.57,0.30,0.58,0.38,39,6,32,13,0.58
220069,CSV,Google-gson,design,RandomForestModel,0.57,0.59,0.61,0.58,28,17,18,27,0.60
220069,CSV,Google-gson,design,DecisionTreeModel,0.73,0.33,0.58,0.43,37,8,30,15,0.58
220069,CSV,Google-gson,design,LogisticRegressionModel,0.61,0.44,0.59,0.49,34,11,26,19,0.59
220069,CSV,Google-gson,design,GaussianNaiveBayesModel,0.68,0.27,0.57,0.37,39,6,33,12,0.57
220069,CSV,Google-gson,design,GradientBoostingRegressorModel,0.54,0.45,0.57,0.48,31,14,25,20,0.57
220069,CSV,Google-guava,implementation,LinearSVMModel,0.36,0.37,0.42,0.31,12,12,16,8,0.46
220069,CSV,Google-guava,implementation,RandomForestModel,0.39,0.43,0.40,0.39,9,15,14,10,0.40
220069,CSV,Google-guava,implementation,DecisionTreeModel,0.38,0.42,0.42,0.38,10,14,14,10,0.42
