project,type,model,test_precision,test_recall,test_f1,test_accuracy
Google-exoplayer,design,DecisionTreeModel,0.48,0.41,0.42,0.49
Google-exoplayer,design,GaussianNaiveBayesModel,0.67,0.22,0.32,0.55
Google-exoplayer,design,GradientBoostingRegressorModel,0.57,0.61,0.58,0.57
Google-exoplayer,design,LinearSVMModel,0.45,0.08,0.14,0.51
Google-exoplayer,design,LogisticRegressionModel,0.54,0.43,0.47,0.54
Google-exoplayer,design,RandomForestModel,0.66,0.56,0.59,0.6
Google-exoplayer,implementation,DecisionTreeModel,0.6,0.43,0.49,0.58
Google-exoplayer,implementation,GaussianNaiveBayesModel,0.68,0.2,0.3,0.55
Google-exoplayer,implementation,GradientBoostingRegressorModel,0.52,0.46,0.48,0.52
Google-exoplayer,implementation,LinearSVMModel,0.73,0.09,0.15,0.54
Google-exoplayer,implementation,LogisticRegressionModel,0.68,0.42,0.51,0.6
Google-exoplayer,implementation,RandomForestModel,0.51,0.44,0.46,0.51
Google-gson,design,DecisionTreeModel,0.73,0.33,0.43,0.58
Google-gson,design,GaussianNaiveBayesModel,0.68,0.27,0.37,0.57
Google-gson,design,GradientBoostingRegressorModel,0.54,0.45,0.48,0.57
Google-gson,design,LinearSVMModel,0.57,0.3,0.38,0.58
Google-gson,design,LogisticRegressionModel,0.61,0.44,0.49,0.59
Google-gson,design,RandomForestModel,0.57,0.59,0.58,0.61
Google-gson,implementation,DecisionTreeModel,0.71,0.57,0.63,0.67
Google-gson,implementation,GaussianNaiveBayesModel,0.48,0.65,0.53,0.48
Google-gson,implementation,GradientBoostingRegressorModel,0.61,0.48,0.5,0.61
Google-gson,implementation,LinearSVMModel,0.45,0.14,0.21,0.56
Google-gson,implementation,LogisticRegressionModel,0.73,0.42,0.49,0.61
Google-gson,implementation,RandomForestModel,0.63,0.6,0.6,0.62
Google-guava,design,DecisionTreeModel,0.4,0.45,0.38,0.47
Google-guava,design,GaussianNaiveBayesModel,0.35,0.3,0.32,0.54
Google-guava,design,GradientBoostingRegressorModel,0.45,0.45,0.44,0.47
Google-guava,design,LinearSVMModel,0.35,0.2,0.25,0.53
Google-guava,design,LogisticRegressionModel,0.53,0.4,0.44,0.53
Google-guava,design,RandomForestModel,0.5,0.5,0.47,0.49
Google-guava,implementation,DecisionTreeModel,0.38,0.42,0.38,0.42
Google-guava,implementation,GaussianNaiveBayesModel,0.28,0.4,0.32,0.32
Google-guava,implementation,GradientBoostingRegressorModel,0.45,0.47,0.45,0.48
Google-guava,implementation,LinearSVMModel,0.36,0.37,0.31,0.42
Google-guava,implementation,LogisticRegressionModel,0.23,0.23,0.2,0.39
Google-guava,implementation,RandomForestModel,0.39,0.43,0.39,0.4
Netflix-Hystrix,design,DecisionTreeModel,0.85,0.29,0.41,0.63
Netflix-Hystrix,design,GaussianNaiveBayesModel,0.87,0.31,0.44,0.65
Netflix-Hystrix,design,GradientBoostingRegressorModel,0.82,0.29,0.41,0.63
Netflix-Hystrix,design,LinearSVMModel,0.95,0.31,0.46,0.65
Netflix-Hystrix,design,LogisticRegressionModel,0.83,0.32,0.46,0.64
Netflix-Hystrix,design,RandomForestModel,0.95,0.32,0.45,0.64
Netflix-Hystrix,implementation,DecisionTreeModel,0.73,0.49,0.54,0.65
Netflix-Hystrix,implementation,GaussianNaiveBayesModel,0.65,0.33,0.42,0.6
Netflix-Hystrix,implementation,GradientBoostingRegressorModel,0.61,0.53,0.56,0.59
Netflix-Hystrix,implementation,LinearSVMModel,0.73,0.3,0.39,0.59
Netflix-Hystrix,implementation,LogisticRegressionModel,0.78,0.47,0.57,0.66
Netflix-Hystrix,implementation,RandomForestModel,0.66,0.51,0.56,0.62
Netflix-conductor,design,DecisionTreeModel,0.54,0.47,0.49,0.53
Netflix-conductor,design,GaussianNaiveBayesModel,0.66,0.32,0.42,0.58
Netflix-conductor,design,GradientBoostingRegressorModel,0.53,0.48,0.5,0.53
Netflix-conductor,design,LinearSVMModel,0.64,0.38,0.47,0.58
Netflix-conductor,design,LogisticRegressionModel,0.58,0.53,0.54,0.57
Netflix-conductor,design,RandomForestModel,0.54,0.48,0.51,0.54
Netflix-conductor,implementation,DecisionTreeModel,0.67,0.47,0.55,0.62
Netflix-conductor,implementation,GaussianNaiveBayesModel,0.75,0.3,0.42,0.59
Netflix-conductor,implementation,GradientBoostingRegressorModel,0.64,0.44,0.52,0.6
Netflix-conductor,implementation,LinearSVMModel,0.66,0.34,0.44,0.57
Netflix-conductor,implementation,LogisticRegressionModel,0.6,0.43,0.5,0.57
Netflix-conductor,implementation,RandomForestModel,0.65,0.47,0.54,0.61
Netflix-eureka,design,DecisionTreeModel,0.77,0.68,0.7,0.72
Netflix-eureka,design,GaussianNaiveBayesModel,0.7,0.3,0.39,0.61
Netflix-eureka,design,GradientBoostingRegressorModel,0.78,0.68,0.7,0.72
Netflix-eureka,design,LinearSVMModel,0.72,0.37,0.46,0.63
Netflix-eureka,design,LogisticRegressionModel,0.66,0.42,0.48,0.59
Netflix-eureka,design,RandomForestModel,0.74,0.69,0.7,0.71
Netflix-eureka,implementation,DecisionTreeModel,0.56,0.29,0.34,0.52
Netflix-eureka,implementation,GaussianNaiveBayesModel,0.58,0.29,0.38,0.57
Netflix-eureka,implementation,GradientBoostingRegressorModel,0.58,0.37,0.41,0.52
Netflix-eureka,implementation,LinearSVMModel,0.8,0.26,0.38,0.59
Netflix-eureka,implementation,LogisticRegressionModel,0.54,0.33,0.39,0.53
Netflix-eureka,implementation,RandomForestModel,0.62,0.44,0.49,0.55
Netflix-zuul,design,DecisionTreeModel,0.67,0.6,0.61,0.75
Netflix-zuul,design,GaussianNaiveBayesModel,0.7,0.5,0.57,0.67
Netflix-zuul,design,GradientBoostingRegressorModel,0.62,0.55,0.55,0.59
Netflix-zuul,design,LinearSVMModel,0.8,0.75,0.71,0.7
Netflix-zuul,design,LogisticRegressionModel,0.47,0.55,0.5,0.67
Netflix-zuul,design,RandomForestModel,0.67,0.7,0.65,0.69
Netflix-zuul,implementation,DecisionTreeModel,0.35,0.4,0.36,0.55
Netflix-zuul,implementation,GaussianNaiveBayesModel,0.65,0.5,0.53,0.65
Netflix-zuul,implementation,GradientBoostingRegressorModel,0.32,0.5,0.39,0.42
Netflix-zuul,implementation,LinearSVMModel,0.6,0.5,0.53,0.68
Netflix-zuul,implementation,LogisticRegressionModel,0.57,0.5,0.51,0.6
Netflix-zuul,implementation,RandomForestModel,0.57,0.45,0.46,0.57
Spring-boot,design,DecisionTreeModel,0.59,0.35,0.41,0.51
Spring-boot,design,GaussianNaiveBayesModel,0.47,0.57,0.5,0.51
Spring-boot,design,GradientBoostingRegressorModel,0.48,0.47,0.47,0.49
Spring-boot,design,LinearSVMModel,0.46,0.66,0.53,0.5
Spring-boot,design,LogisticRegressionModel,0.55,0.7,0.61,0.56
Spring-boot,design,RandomForestModel,0.52,0.51,0.5,0.51
Spring-boot,implementation,DecisionTreeModel,0.68,0.51,0.55,0.65
Spring-boot,implementation,GaussianNaiveBayesModel,0.57,0.35,0.4,0.52
Spring-boot,implementation,GradientBoostingRegressorModel,0.66,0.62,0.6,0.63
Spring-boot,implementation,LinearSVMModel,0.51,0.48,0.45,0.54
Spring-boot,implementation,LogisticRegressionModel,0.48,0.36,0.4,0.5
Spring-boot,implementation,RandomForestModel,0.69,0.7,0.69,0.67
Spring-security,design,DecisionTreeModel,0.54,0.52,0.52,0.54
Spring-security,design,GaussianNaiveBayesModel,0.7,0.29,0.4,0.58
Spring-security,design,GradientBoostingRegressorModel,0.58,0.56,0.57,0.58
Spring-security,design,LinearSVMModel,0.65,0.18,0.28,0.55
Spring-security,design,LogisticRegressionModel,0.56,0.36,0.43,0.54
Spring-security,design,RandomForestModel,0.55,0.57,0.56,0.55
Spring-security,implementation,DecisionTreeModel,0.66,0.41,0.49,0.58
Spring-security,implementation,GaussianNaiveBayesModel,0.63,0.26,0.36,0.55
Spring-security,implementation,GradientBoostingRegressorModel,0.6,0.51,0.55,0.58
Spring-security,implementation,LinearSVMModel,0.7,0.29,0.4,0.58
Spring-security,implementation,LogisticRegressionModel,0.57,0.5,0.53,0.56
Spring-security,implementation,RandomForestModel,0.61,0.44,0.5,0.58
