config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
887291,CSV,Google-exoplayer,implementation,LinearSVMModel,0.62,0.27,0.54,0.36,101,24,92,33,0.54
887291,CSV,Google-exoplayer,implementation,RandomForestModel,0.62,0.61,0.62,0.61,78,47,49,76,0.62
887291,CSV,Google-exoplayer,implementation,DecisionTreeModel,0.62,0.67,0.63,0.64,73,52,41,84,0.63
887291,CSV,Google-exoplayer,implementation,LogisticRegressionModel,0.52,0.42,0.52,0.45,77,48,73,52,0.52
887291,CSV,Google-exoplayer,implementation,GaussianNaiveBayesModel,0.58,0.25,0.54,0.34,103,22,94,31,0.54
887291,CSV,Google-exoplayer,implementation,GradientBoostingRegressorModel,0.57,0.49,0.56,0.52,78,47,64,61,0.56
887291,CSV,Google-exoplayer,design,LinearSVMModel,0.47,0.29,0.50,0.35,59,24,59,24,0.50
887291,CSV,Google-exoplayer,design,RandomForestModel,0.58,0.64,0.59,0.60,44,39,30,53,0.59
887291,CSV,Google-exoplayer,design,DecisionTreeModel,0.62,0.46,0.58,0.51,58,25,45,38,0.58
887291,CSV,Google-exoplayer,design,LogisticRegressionModel,0.44,0.34,0.45,0.37,47,36,55,28,0.45
887291,CSV,Google-exoplayer,design,GaussianNaiveBayesModel,0.55,0.20,0.53,0.29,71,12,66,17,0.53
887291,CSV,Google-exoplayer,design,GradientBoostingRegressorModel,0.58,0.59,0.57,0.58,46,37,34,49,0.57
887291,CSV,Google-gson,implementation,LinearSVMModel,0.28,0.44,0.46,0.31,28,26,32,22,0.50
887291,CSV,Google-gson,implementation,RandomForestModel,0.56,0.46,0.54,0.50,34,20,29,25,0.55
887291,CSV,Google-gson,implementation,DecisionTreeModel,0.63,0.46,0.59,0.52,38,16,29,25,0.58
887291,CSV,Google-gson,implementation,LogisticRegressionModel,0.52,0.46,0.52,0.48,32,22,30,24,0.53
887291,CSV,Google-gson,implementation,GaussianNaiveBayesModel,0.53,0.15,0.54,0.23,50,4,46,8,0.54
887291,CSV,Google-gson,implementation,GradientBoostingRegressorModel,0.49,0.50,0.51,0.49,28,26,27,27,0.51
887291,CSV,Google-gson,design,LinearSVMModel,0.24,0.25,0.39,0.24,24,21,34,11,0.40
887291,CSV,Google-gson,design,RandomForestModel,0.56,0.37,0.50,0.41,28,17,28,17,0.51
887291,CSV,Google-gson,design,DecisionTreeModel,0.50,0.40,0.47,0.38,24,21,27,18,0.47
887291,CSV,Google-gson,design,LogisticRegressionModel,0.54,0.39,0.52,0.45,29,16,27,18,0.53
887291,CSV,Google-gson,design,GaussianNaiveBayesModel,0.50,0.16,0.57,0.24,44,1,38,7,0.57
887291,CSV,Google-gson,design,GradientBoostingRegressorModel,0.55,0.56,0.56,0.54,25,20,20,25,0.56
887291,CSV,Google-guava,implementation,LinearSVMModel,0.62,0.52,0.57,0.54,15,9,11,13,0.55
887291,CSV,Google-guava,implementation,RandomForestModel,0.70,0.58,0.68,0.61,19,5,10,14,0.68
887291,CSV,Google-guava,implementation,DecisionTreeModel,0.79,0.67,0.71,0.69,18,6,8,16,0.71
887291,CSV,Google-guava,implementation,LogisticRegressionModel,0.67,0.63,0.58,0.60,13,11,9,15,0.61
