config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
289202,CSV,Google-exoplayer,implementation,LinearSVMModel,0.63,0.32,0.55,0.39,97,28,85,40,0.55
289202,CSV,Google-exoplayer,implementation,RandomForestModel,0.62,0.21,0.52,0.28,105,20,99,26,0.53
289202,CSV,Google-exoplayer,implementation,DecisionTreeModel,0.75,0.18,0.56,0.28,117,8,103,22,0.56
289202,CSV,Google-exoplayer,implementation,LogisticRegressionModel,0.55,0.45,0.54,0.49,79,46,69,56,0.54
289202,CSV,Google-exoplayer,implementation,GaussianNaiveBayesModel,0.66,0.23,0.55,0.34,109,16,96,29,0.55
289202,CSV,Google-exoplayer,implementation,GradientBoostingRegressorModel,0.72,0.18,0.55,0.29,115,10,102,23,0.55
289202,CSV,Google-exoplayer,design,LinearSVMModel,0.62,0.35,0.54,0.41,61,22,54,29,0.54
289202,CSV,Google-exoplayer,design,RandomForestModel,0.62,0.59,0.61,0.60,52,31,34,49,0.61
289202,CSV,Google-exoplayer,design,DecisionTreeModel,0.60,0.54,0.60,0.56,54,29,38,45,0.60
289202,CSV,Google-exoplayer,design,LogisticRegressionModel,0.53,0.43,0.53,0.47,52,31,47,36,0.53
289202,CSV,Google-exoplayer,design,GaussianNaiveBayesModel,0.45,0.22,0.51,0.29,67,16,65,18,0.51
289202,CSV,Google-exoplayer,design,GradientBoostingRegressorModel,0.64,0.66,0.64,0.64,51,32,28,55,0.64
289202,CSV,Google-gson,implementation,LinearSVMModel,0.54,0.42,0.57,0.46,39,15,32,22,0.57
289202,CSV,Google-gson,implementation,RandomForestModel,0.66,0.55,0.66,0.58,42,12,25,29,0.66
289202,CSV,Google-gson,implementation,DecisionTreeModel,0.67,0.51,0.65,0.55,43,11,27,27,0.66
289202,CSV,Google-gson,implementation,LogisticRegressionModel,0.62,0.52,0.59,0.54,36,18,26,28,0.59
289202,CSV,Google-gson,implementation,GaussianNaiveBayesModel,0.52,0.18,0.56,0.25,51,3,44,10,0.56
289202,CSV,Google-gson,implementation,GradientBoostingRegressorModel,0.73,0.58,0.66,0.60,40,14,23,31,0.66
289202,CSV,Google-gson,design,LinearSVMModel,0.32,0.34,0.46,0.31,26,19,30,15,0.47
289202,CSV,Google-gson,design,RandomForestModel,0.66,0.35,0.54,0.43,33,12,29,16,0.55
289202,CSV,Google-gson,design,DecisionTreeModel,0.61,0.40,0.52,0.44,29,16,27,18,0.53
289202,CSV,Google-gson,design,LogisticRegressionModel,0.55,0.44,0.52,0.46,28,17,26,19,0.53
289202,CSV,Google-gson,design,GaussianNaiveBayesModel,0.70,0.15,0.57,0.25,44,1,38,7,0.56
289202,CSV,Google-gson,design,GradientBoostingRegressorModel,0.58,0.52,0.56,0.52,26,19,21,24,0.55
289202,CSV,Google-guava,implementation,LinearSVMModel,0.55,0.53,0.58,0.51,16,8,12,12,0.59
289202,CSV,Google-guava,implementation,RandomForestModel,0.71,0.70,0.71,0.68,17,7,7,17,0.70
289202,CSV,Google-guava,implementation,DecisionTreeModel,0.57,0.50,0.73,0.51,23,1,12,12,0.73
289202,CSV,Google-guava,implementation,LogisticRegressionModel,0.60,0.68,0.57,0.61,11,13,8,16,0.57
289202,CSV,Google-guava,implementation,GaussianNaiveBayesModel,0.52,1.00,0.54,0.68,2,22,0,24,0.53
289202,CSV,Google-guava,implementation,GradientBoostingRegressorModel,0.75,0.55,0.72,0.61,21,3,11,13,0.72
289202,CSV,Google-guava,design,LinearSVMModel,0.20,0.25,0.47,0.20,14,5,15,4,0.50
289202,CSV,Google-guava,design,RandomForestModel,0.57,0.55,0.57,0.53,11,8,8,11,0.55
289202,CSV,Google-guava,design,DecisionTreeModel,0.47,0.35,0.51,0.38,12,7,12,7,0.50
289202,CSV,Google-guava,design,LogisticRegressionModel,0.52,0.60,0.63,0.53,12,7,7,12,0.62
289202,CSV,Google-guava,design,GaussianNaiveBayesModel,0.18,0.15,0.50,0.16,16,3,16,3,0.50
289202,CSV,Google-guava,design,GradientBoostingRegressorModel,0.52,0.55,0.58,0.51,12,7,9,10,0.60
289202,CSV,Spring-boot,implementation,LinearSVMModel,0.78,0.27,0.63,0.38,46,1,34,13,0.62
289202,CSV,Spring-boot,implementation,RandomForestModel,0.72,0.59,0.66,0.62,34,13,19,28,0.66
289202,CSV,Spring-boot,implementation,DecisionTreeModel,0.72,0.55,0.64,0.58,35,12,22,25,0.64
289202,CSV,Spring-boot,implementation,LogisticRegressionModel,0.78,0.43,0.64,0.53,40,7,27,20,0.64
289202,CSV,Spring-boot,implementation,GaussianNaiveBayesModel,0.74,0.37,0.64,0.46,43,4,30,17,0.64
289202,CSV,Spring-boot,implementation,GradientBoostingRegressorModel,0.59,0.52,0.55,0.53,28,19,23,24,0.56
289202,CSV,Spring-boot,design,LinearSVMModel,0.55,0.26,0.58,0.32,39,4,32,11,0.58
289202,CSV,Spring-boot,design,RandomForestModel,0.49,0.35,0.52,0.39,30,13,28,15,0.53
289202,CSV,Spring-boot,design,DecisionTreeModel,0.60,0.26,0.54,0.35,36,7,32,11,0.55
289202,CSV,Spring-boot,design,LogisticRegressionModel,0.57,0.31,0.56,0.34,35,8,30,13,0.56
289202,CSV,Spring-boot,design,GaussianNaiveBayesModel,0.43,0.11,0.51,0.18,39,4,38,5,0.51
289202,CSV,Spring-boot,design,GradientBoostingRegressorModel,0.46,0.38,0.45,0.39,23,20,27,16,0.45
289202,CSV,Spring-security,implementation,LinearSVMModel,0.54,0.54,0.53,0.52,125,114,111,128,0.53
289202,CSV,Spring-security,implementation,RandomForestModel,0.63,0.39,0.57,0.47,182,57,147,92,0.57
289202,CSV,Spring-security,implementation,DecisionTreeModel,0.61,0.34,0.56,0.43,185,54,158,81,0.56
289202,CSV,Spring-security,implementation,LogisticRegressionModel,0.53,0.59,0.53,0.56,113,126,97,142,0.53
289202,CSV,Spring-security,implementation,GaussianNaiveBayesModel,0.56,0.17,0.52,0.26,209,30,198,41,0.52
289202,CSV,Spring-security,implementation,GradientBoostingRegressorModel,0.63,0.36,0.58,0.46,188,51,152,87,0.58
289202,CSV,Spring-security,design,LinearSVMModel,0.62,0.27,0.55,0.36,163,35,145,53,0.55
289202,CSV,Spring-security,design,RandomForestModel,0.62,0.46,0.59,0.53,144,54,107,91,0.59
289202,CSV,Spring-security,design,DecisionTreeModel,0.60,0.36,0.57,0.44,153,45,126,72,0.57
289202,CSV,Spring-security,design,LogisticRegressionModel,0.59,0.34,0.55,0.43,150,48,130,68,0.55
289202,CSV,Spring-security,design,GaussianNaiveBayesModel,0.64,0.24,0.55,0.34,169,29,150,48,0.55
289202,CSV,Spring-security,design,GradientBoostingRegressorModel,0.64,0.43,0.60,0.50,151,47,113,85,0.60
289202,CSV,Netflix-zuul,implementation,LinearSVMModel,0.62,0.50,0.60,0.53,14,6,10,10,0.60
289202,CSV,Netflix-zuul,implementation,RandomForestModel,0.38,0.40,0.53,0.37,13,7,12,8,0.53
289202,CSV,Netflix-zuul,implementation,DecisionTreeModel,0.73,0.65,0.70,0.66,15,5,7,13,0.70
289202,CSV,Netflix-zuul,implementation,LogisticRegressionModel,0.68,0.65,0.65,0.63,13,7,7,13,0.65
289202,CSV,Netflix-zuul,implementation,GaussianNaiveBayesModel,0.40,0.25,0.53,0.30,16,4,15,5,0.53
289202,CSV,Netflix-zuul,implementation,GradientBoostingRegressorModel,0.40,0.40,0.50,0.39,12,8,12,8,0.50
289202,CSV,Netflix-zuul,design,LinearSVMModel,0.65,0.90,0.66,0.72,7,10,2,15,0.68
289202,CSV,Netflix-zuul,design,RandomForestModel,0.63,0.85,0.63,0.71,7,10,3,14,0.60
289202,CSV,Netflix-zuul,design,DecisionTreeModel,0.60,0.80,0.62,0.65,7,10,3,14,0.62
289202,CSV,Netflix-zuul,design,LogisticRegressionModel,0.60,0.85,0.64,0.67,7,10,2,15,0.62
289202,CSV,Netflix-zuul,design,GaussianNaiveBayesModel,0.60,0.85,0.64,0.69,7,10,3,14,0.65
289202,CSV,Netflix-zuul,design,GradientBoostingRegressorModel,0.58,0.80,0.60,0.64,7,10,3,14,0.57
289202,CSV,Netflix-Hystrix,implementation,LinearSVMModel,0.65,0.33,0.59,0.43,65,12,51,26,0.59
289202,CSV,Netflix-Hystrix,implementation,RandomForestModel,0.69,0.50,0.65,0.56,61,16,38,39,0.64
289202,CSV,Netflix-Hystrix,implementation,DecisionTreeModel,0.72,0.51,0.66,0.57,63,14,38,39,0.66
289202,CSV,Netflix-Hystrix,implementation,LogisticRegressionModel,0.67,0.48,0.62,0.54,60,17,41,36,0.63
289202,CSV,Netflix-Hystrix,implementation,GaussianNaiveBayesModel,0.50,0.93,0.51,0.64,6,71,5,72,0.50
289202,CSV,Netflix-Hystrix,implementation,GradientBoostingRegressorModel,0.75,0.42,0.60,0.50,61,16,45,32,0.61
289202,CSV,Netflix-Hystrix,design,LinearSVMModel,0.76,0.48,0.68,0.57,60,9,36,33,0.68
289202,CSV,Netflix-Hystrix,design,RandomForestModel,0.82,0.48,0.67,0.59,60,9,36,33,0.67
289202,CSV,Netflix-Hystrix,design,DecisionTreeModel,0.82,0.48,0.67,0.59,60,9,36,33,0.67
289202,CSV,Netflix-Hystrix,design,LogisticRegressionModel,0.80,0.48,0.67,0.59,60,9,36,33,0.68
289202,CSV,Netflix-Hystrix,design,GaussianNaiveBayesModel,0.72,0.51,0.66,0.59,56,13,34,35,0.66
289202,CSV,Netflix-Hystrix,design,GradientBoostingRegressorModel,0.79,0.48,0.67,0.58,60,9,36,33,0.68
289202,CSV,Netflix-conductor,implementation,LinearSVMModel,0.72,0.21,0.56,0.32,203,18,175,46,0.56
289202,CSV,Netflix-conductor,implementation,RandomForestModel,0.63,0.33,0.57,0.43,178,43,148,73,0.57
289202,CSV,Netflix-conductor,implementation,DecisionTreeModel,0.59,0.27,0.54,0.34,177,44,161,60,0.54
289202,CSV,Netflix-conductor,implementation,LogisticRegressionModel,0.68,0.35,0.58,0.45,180,41,143,78,0.58
289202,CSV,Netflix-conductor,implementation,GaussianNaiveBayesModel,0.72,0.23,0.57,0.34,200,21,169,52,0.57
289202,CSV,Netflix-conductor,implementation,GradientBoostingRegressorModel,0.64,0.32,0.57,0.42,179,42,150,71,0.57
289202,CSV,Netflix-conductor,design,LinearSVMModel,0.62,0.28,0.54,0.36,104,24,93,35,0.54
289202,CSV,Netflix-conductor,design,RandomForestModel,0.64,0.41,0.57,0.49,95,33,76,52,0.57
289202,CSV,Netflix-conductor,design,DecisionTreeModel,0.66,0.27,0.57,0.37,111,17,94,34,0.57
289202,CSV,Netflix-conductor,design,LogisticRegressionModel,0.62,0.44,0.58,0.51,93,35,72,56,0.58
289202,CSV,Netflix-conductor,design,GaussianNaiveBayesModel,0.65,0.22,0.55,0.32,114,14,100,28,0.56
289202,CSV,Netflix-conductor,design,GradientBoostingRegressorModel,0.61,0.40,0.57,0.48,94,34,77,51,0.57
289202,CSV,Netflix-eureka,implementation,LinearSVMModel,0.68,0.28,0.59,0.38,56,6,45,17,0.59
289202,CSV,Netflix-eureka,implementation,RandomForestModel,0.59,0.44,0.57,0.48,44,18,35,27,0.58
289202,CSV,Netflix-eureka,implementation,DecisionTreeModel,0.73,0.30,0.61,0.40,57,5,43,19,0.61
289202,CSV,Netflix-eureka,implementation,LogisticRegressionModel,0.64,0.44,0.57,0.49,44,18,35,27,0.58
289202,CSV,Netflix-eureka,implementation,GaussianNaiveBayesModel,0.75,0.32,0.61,0.44,56,6,42,20,0.61
289202,CSV,Netflix-eureka,implementation,GradientBoostingRegressorModel,0.74,0.42,0.61,0.51,50,12,36,26,0.62
289202,CSV,Netflix-eureka,design,LinearSVMModel,0.76,0.53,0.65,0.59,34,10,21,23,0.66
289202,CSV,Netflix-eureka,design,RandomForestModel,0.67,0.61,0.64,0.61,30,14,18,26,0.65
289202,CSV,Netflix-eureka,design,DecisionTreeModel,0.52,0.47,0.56,0.46,28,16,23,21,0.55
289202,CSV,Netflix-eureka,design,LogisticRegressionModel,0.71,0.57,0.64,0.60,31,13,19,25,0.65
289202,CSV,Netflix-eureka,design,GaussianNaiveBayesModel,0.73,0.39,0.60,0.47,36,8,27,17,0.59
289202,CSV,Netflix-eureka,design,GradientBoostingRegressorModel,0.56,0.51,0.57,0.52,28,16,22,22,0.58

