config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
59960,CSV,Google-exoplayer,implementation,LinearSVMModel,0.63,0.31,0.57,0.41,103,22,86,39,0.57
59960,CSV,Google-exoplayer,implementation,RandomForestModel,0.63,0.59,0.61,0.60,80,45,52,73,0.61
59960,CSV,Google-exoplayer,implementation,DecisionTreeModel,0.55,0.46,0.54,0.49,77,48,67,58,0.54
59960,CSV,Google-exoplayer,implementation,LogisticRegressionModel,0.60,0.46,0.56,0.51,84,41,68,57,0.57
59960,CSV,Google-exoplayer,implementation,GaussianNaiveBayesModel,0.56,0.46,0.56,0.49,84,41,68,57,0.57
59960,CSV,Google-exoplayer,implementation,GradientBoostingRegressorModel,0.57,0.58,0.57,0.57,70,55,53,72,0.57
59960,CSV,Google-exoplayer,design,LinearSVMModel,0.64,0.50,0.59,0.54,57,26,42,41,0.59
59960,CSV,Google-exoplayer,design,RandomForestModel,0.54,0.45,0.54,0.48,53,30,46,37,0.54
59960,CSV,Google-exoplayer,design,DecisionTreeModel,0.45,0.39,0.47,0.41,45,38,50,33,0.47
59960,CSV,Google-exoplayer,design,LogisticRegressionModel,0.56,0.51,0.56,0.53,51,32,41,42,0.56
59960,CSV,Google-exoplayer,design,GaussianNaiveBayesModel,0.71,0.22,0.55,0.32,73,10,65,18,0.55
59960,CSV,Google-exoplayer,design,GradientBoostingRegressorModel,0.56,0.47,0.55,0.50,52,31,44,39,0.55
59960,CSV,Google-gson,implementation,LinearSVMModel,0.58,0.44,0.49,0.43,30,24,31,23,0.50
59960,CSV,Google-gson,implementation,RandomForestModel,0.77,0.38,0.60,0.47,44,10,33,21,0.59
59960,CSV,Google-gson,implementation,DecisionTreeModel,0.68,0.38,0.58,0.46,42,12,33,21,0.58
59960,CSV,Google-gson,implementation,LogisticRegressionModel,0.53,0.56,0.55,0.53,30,24,24,30,0.56
59960,CSV,Google-gson,implementation,GaussianNaiveBayesModel,0.55,0.23,0.54,0.31,46,8,42,12,0.54
59960,CSV,Google-gson,implementation,GradientBoostingRegressorModel,0.61,0.59,0.59,0.59,32,22,22,32,0.60
59960,CSV,Google-gson,design,LinearSVMModel,0.60,0.43,0.57,0.48,32,13,26,19,0.57
59960,CSV,Google-gson,design,RandomForestModel,0.59,0.68,0.59,0.61,24,21,16,29,0.60
59960,CSV,Google-gson,design,DecisionTreeModel,0.59,0.73,0.61,0.63,23,22,13,32,0.62
59960,CSV,Google-gson,design,LogisticRegressionModel,0.60,0.55,0.60,0.56,29,16,20,25,0.59
59960,CSV,Google-gson,design,GaussianNaiveBayesModel,0.57,0.17,0.57,0.25,43,2,37,8,0.56
59960,CSV,Google-gson,design,GradientBoostingRegressorModel,0.54,0.56,0.57,0.54,26,19,20,25,0.57
59960,CSV,Google-guava,implementation,LinearSVMModel,0.45,0.42,0.47,0.41,12,12,14,10,0.46
59960,CSV,Google-guava,implementation,RandomForestModel,0.79,0.65,0.68,0.66,18,6,9,15,0.68
59960,CSV,Google-guava,implementation,DecisionTreeModel,0.72,0.60,0.62,0.61,16,8,10,14,0.62
59960,CSV,Google-guava,implementation,LogisticRegressionModel,0.50,0.47,0.56,0.45,16,8,13,11,0.57
59960,CSV,Google-guava,implementation,GaussianNaiveBayesModel,0.51,0.93,0.50,0.65,2,22,2,22,0.51
59960,CSV,Google-guava,implementation,GradientBoostingRegressorModel,0.76,0.73,0.77,0.74,19,5,6,18,0.75
59960,CSV,Google-guava,design,LinearSVMModel,0.47,0.60,0.49,0.50,7,12,7,12,0.47
59960,CSV,Google-guava,design,RandomForestModel,0.38,0.40,0.44,0.38,9,10,11,8,0.45
59960,CSV,Google-guava,design,DecisionTreeModel,0.45,0.30,0.53,0.35,15,4,14,5,0.53
59960,CSV,Google-guava,design,LogisticRegressionModel,0.35,0.40,0.45,0.36,9,10,11,8,0.45
59960,CSV,Google-guava,design,GaussianNaiveBayesModel,0.10,0.05,0.47,0.07,17,2,18,1,0.47
59960,CSV,Google-guava,design,GradientBoostingRegressorModel,0.45,0.50,0.48,0.45,9,10,9,10,0.47
59960,CSV,Spring-boot,implementation,LinearSVMModel,0.71,0.47,0.66,0.54,39,8,24,23,0.66
59960,CSV,Spring-boot,implementation,RandomForestModel,0.60,0.40,0.61,0.48,38,9,28,19,0.61
59960,CSV,Spring-boot,implementation,DecisionTreeModel,0.60,0.56,0.59,0.55,29,18,21,26,0.59
59960,CSV,Spring-boot,implementation,LogisticRegressionModel,0.71,0.57,0.66,0.61,35,12,20,27,0.66
59960,CSV,Spring-boot,implementation,GaussianNaiveBayesModel,0.64,0.39,0.61,0.47,39,8,29,18,0.61
59960,CSV,Spring-boot,implementation,GradientBoostingRegressorModel,0.62,0.55,0.60,0.56,31,16,21,26,0.61
59960,CSV,Spring-boot,design,LinearSVMModel,0.49,0.34,0.54,0.35,32,11,28,15,0.53
59960,CSV,Spring-boot,design,RandomForestModel,0.46,0.52,0.45,0.48,17,26,21,22,0.45
59960,CSV,Spring-boot,design,DecisionTreeModel,0.47,0.52,0.48,0.49,20,23,21,22,0.48
59960,CSV,Spring-boot,design,LogisticRegressionModel,0.49,0.45,0.50,0.45,24,19,24,19,0.50
59960,CSV,Spring-boot,design,GaussianNaiveBayesModel,0.30,0.10,0.53,0.14,41,2,39,4,0.53
59960,CSV,Spring-boot,design,GradientBoostingRegressorModel,0.40,0.32,0.41,0.35,21,22,29,14,0.41
59960,CSV,Spring-security,implementation,LinearSVMModel,0.55,0.44,0.54,0.48,152,87,135,104,0.54
59960,CSV,Spring-security,implementation,RandomForestModel,0.63,0.56,0.62,0.59,161,78,105,134,0.62
59960,CSV,Spring-security,implementation,DecisionTreeModel,0.61,0.57,0.60,0.58,151,88,103,136,0.60
59960,CSV,Spring-security,implementation,LogisticRegressionModel,0.56,0.47,0.55,0.51,148,91,126,113,0.55
59960,CSV,Spring-security,implementation,GaussianNaiveBayesModel,0.65,0.32,0.57,0.42,196,43,162,77,0.57
59960,CSV,Spring-security,implementation,GradientBoostingRegressorModel,0.61,0.55,0.60,0.58,155,84,107,132,0.60
59960,CSV,Spring-security,design,LinearSVMModel,0.62,0.42,0.58,0.49,145,53,115,83,0.58
59960,CSV,Spring-security,design,RandomForestModel,0.59,0.61,0.60,0.59,115,83,77,121,0.60
59960,CSV,Spring-security,design,DecisionTreeModel,0.52,0.45,0.51,0.48,113,85,108,90,0.51
59960,CSV,Spring-security,design,LogisticRegressionModel,0.57,0.46,0.55,0.50,129,69,108,90,0.55
59960,CSV,Spring-security,design,GaussianNaiveBayesModel,0.68,0.23,0.56,0.34,176,22,152,46,0.56
59960,CSV,Spring-security,design,GradientBoostingRegressorModel,0.60,0.59,0.60,0.59,122,76,82,116,0.60
59960,CSV,Netflix-zuul,implementation,LinearSVMModel,0.57,0.60,0.62,0.56,13,7,8,12,0.62
59960,CSV,Netflix-zuul,implementation,RandomForestModel,0.47,0.40,0.57,0.41,15,5,12,8,0.57
59960,CSV,Netflix-zuul,implementation,DecisionTreeModel,0.43,0.45,0.57,0.41,14,6,11,9,0.57
59960,CSV,Netflix-zuul,implementation,LogisticRegressionModel,0.62,0.65,0.62,0.60,12,8,7,13,0.62
59960,CSV,Netflix-zuul,implementation,GaussianNaiveBayesModel,0.55,0.40,0.57,0.45,15,5,12,8,0.57
59960,CSV,Netflix-zuul,implementation,GradientBoostingRegressorModel,0.52,0.50,0.57,0.48,13,7,10,10,0.57
59960,CSV,Netflix-zuul,design,LinearSVMModel,0.67,0.65,0.62,0.62,10,7,6,11,0.65
59960,CSV,Netflix-zuul,design,RandomForestModel,0.60,0.65,0.67,0.59,12,5,6,11,0.68
59960,CSV,Netflix-zuul,design,DecisionTreeModel,0.65,0.60,0.64,0.58,12,5,7,10,0.65
59960,CSV,Netflix-zuul,design,LogisticRegressionModel,0.35,0.30,0.43,0.30,10,7,12,5,0.42
59960,CSV,Netflix-zuul,design,GaussianNaiveBayesModel,0.50,0.55,0.64,0.52,12,5,8,9,0.65
59960,CSV,Netflix-zuul,design,GradientBoostingRegressorModel,0.80,0.70,0.71,0.72,12,5,5,12,0.72
59960,CSV,Netflix-Hystrix,implementation,LinearSVMModel,0.77,0.39,0.61,0.49,64,13,47,30,0.61
59960,CSV,Netflix-Hystrix,implementation,RandomForestModel,0.72,0.63,0.68,0.66,57,20,29,48,0.68
59960,CSV,Netflix-Hystrix,implementation,DecisionTreeModel,0.69,0.54,0.66,0.59,59,18,35,42,0.65
59960,CSV,Netflix-Hystrix,implementation,LogisticRegressionModel,0.72,0.47,0.64,0.56,63,14,41,36,0.64
59960,CSV,Netflix-Hystrix,implementation,GaussianNaiveBayesModel,0.72,0.47,0.62,0.55,60,17,41,36,0.62
59960,CSV,Netflix-Hystrix,implementation,GradientBoostingRegressorModel,0.73,0.65,0.69,0.65,56,21,27,50,0.69
59960,CSV,Netflix-Hystrix,design,LinearSVMModel,0.85,0.64,0.75,0.70,59,10,25,44,0.75
59960,CSV,Netflix-Hystrix,design,RandomForestModel,0.80,0.70,0.75,0.73,55,14,21,48,0.75
59960,CSV,Netflix-Hystrix,design,DecisionTreeModel,0.79,0.68,0.74,0.73,55,14,22,47,0.74
59960,CSV,Netflix-Hystrix,design,LogisticRegressionModel,0.80,0.65,0.74,0.71,57,12,24,45,0.74
59960,CSV,Netflix-Hystrix,design,GaussianNaiveBayesModel,0.81,0.54,0.70,0.62,59,10,32,37,0.69
59960,CSV,Netflix-Hystrix,design,GradientBoostingRegressorModel,0.75,0.62,0.71,0.67,55,14,26,43,0.71
59960,CSV,Netflix-conductor,implementation,LinearSVMModel,0.71,0.33,0.60,0.45,191,30,147,74,0.60
59960,CSV,Netflix-conductor,implementation,RandomForestModel,0.63,0.59,0.62,0.61,142,79,90,131,0.62
59960,CSV,Netflix-conductor,implementation,DecisionTreeModel,0.62,0.51,0.60,0.55,153,68,109,112,0.60
59960,CSV,Netflix-conductor,implementation,LogisticRegressionModel,0.62,0.53,0.60,0.57,149,72,103,118,0.60
59960,CSV,Netflix-conductor,implementation,GaussianNaiveBayesModel,0.69,0.38,0.58,0.45,173,48,138,83,0.58
59960,CSV,Netflix-conductor,implementation,GradientBoostingRegressorModel,0.60,0.52,0.58,0.55,144,77,107,114,0.58
59960,CSV,Netflix-conductor,design,LinearSVMModel,0.61,0.37,0.56,0.45,97,31,81,47,0.56
59960,CSV,Netflix-conductor,design,RandomForestModel,0.61,0.53,0.59,0.56,82,46,60,68,0.59
59960,CSV,Netflix-conductor,design,DecisionTreeModel,0.63,0.58,0.61,0.59,83,45,54,74,0.61
59960,CSV,Netflix-conductor,design,LogisticRegressionModel,0.57,0.49,0.55,0.52,79,49,65,63,0.56
59960,CSV,Netflix-conductor,design,GaussianNaiveBayesModel,0.72,0.29,0.59,0.39,113,15,91,37,0.59
59960,CSV,Netflix-conductor,design,GradientBoostingRegressorModel,0.54,0.51,0.54,0.51,73,55,63,65,0.54
59960,CSV,Netflix-eureka,implementation,LinearSVMModel,0.79,0.32,0.60,0.43,54,8,42,20,0.60
59960,CSV,Netflix-eureka,implementation,RandomForestModel,0.77,0.60,0.69,0.63,48,14,25,37,0.69
59960,CSV,Netflix-eureka,implementation,DecisionTreeModel,0.80,0.45,0.67,0.57,55,7,34,28,0.67
59960,CSV,Netflix-eureka,implementation,LogisticRegressionModel,0.62,0.42,0.60,0.49,48,14,36,26,0.60
59960,CSV,Netflix-eureka,implementation,GaussianNaiveBayesModel,0.74,0.42,0.61,0.52,50,12,36,26,0.62
59960,CSV,Netflix-eureka,implementation,GradientBoostingRegressorModel,0.66,0.55,0.62,0.58,43,19,28,34,0.63
59960,CSV,Netflix-eureka,design,LinearSVMModel,0.74,0.72,0.72,0.71,32,12,12,32,0.72
59960,CSV,Netflix-eureka,design,RandomForestModel,0.65,0.63,0.65,0.62,30,14,17,27,0.65
59960,CSV,Netflix-eureka,design,DecisionTreeModel,0.59,0.51,0.60,0.53,31,13,22,22,0.60
59960,CSV,Netflix-eureka,design,LogisticRegressionModel,0.71,0.66,0.69,0.66,32,12,15,29,0.70
59960,CSV,Netflix-eureka,design,GaussianNaiveBayesModel,0.67,0.46,0.62,0.50,34,10,23,21,0.61
59960,CSV,Netflix-eureka,design,GradientBoostingRegressorModel,0.67,0.68,0.66,0.65,28,16,14,30,0.65

