project,type,model,test_precision,test_recall,test_f1,test_accuracy
Google-exoplayer,design,DecisionTreeModel,0.45,0.39,0.41,0.47
Google-exoplayer,design,GaussianNaiveBayesModel,0.71,0.22,0.32,0.55
Google-exoplayer,design,GradientBoostingRegressorModel,0.56,0.47,0.5,0.55
Google-exoplayer,design,LinearSVMModel,0.64,0.5,0.54,0.59
Google-exoplayer,design,LogisticRegressionModel,0.56,0.51,0.53,0.56
Google-exoplayer,design,RandomForestModel,0.54,0.45,0.48,0.54
Google-exoplayer,implementation,DecisionTreeModel,0.55,0.46,0.49,0.54
Google-exoplayer,implementation,GaussianNaiveBayesModel,0.56,0.46,0.49,0.56
Google-exoplayer,implementation,GradientBoostingRegressorModel,0.57,0.58,0.57,0.57
Google-exoplayer,implementation,LinearSVMModel,0.63,0.31,0.41,0.57
Google-exoplayer,implementation,LogisticRegressionModel,0.6,0.46,0.51,0.56
Google-exoplayer,implementation,RandomForestModel,0.63,0.59,0.6,0.61
Google-gson,design,DecisionTreeModel,0.59,0.73,0.63,0.61
Google-gson,design,GaussianNaiveBayesModel,0.57,0.17,0.25,0.57
Google-gson,design,GradientBoostingRegressorModel,0.54,0.56,0.54,0.57
Google-gson,design,LinearSVMModel,0.6,0.43,0.48,0.57
Google-gson,design,LogisticRegressionModel,0.6,0.55,0.56,0.6
Google-gson,design,RandomForestModel,0.59,0.68,0.61,0.59
Google-gson,implementation,DecisionTreeModel,0.68,0.38,0.46,0.58
Google-gson,implementation,GaussianNaiveBayesModel,0.55,0.23,0.31,0.54
Google-gson,implementation,GradientBoostingRegressorModel,0.61,0.59,0.59,0.59
Google-gson,implementation,LinearSVMModel,0.58,0.44,0.43,0.49
Google-gson,implementation,LogisticRegressionModel,0.53,0.56,0.53,0.55
Google-gson,implementation,RandomForestModel,0.77,0.38,0.47,0.6
Google-guava,design,DecisionTreeModel,0.45,0.3,0.35,0.53
Google-guava,design,GaussianNaiveBayesModel,0.1,0.05,0.07,0.47
Google-guava,design,GradientBoostingRegressorModel,0.45,0.5,0.45,0.48
Google-guava,design,LinearSVMModel,0.47,0.6,0.5,0.49
Google-guava,design,LogisticRegressionModel,0.35,0.4,0.36,0.45
Google-guava,design,RandomForestModel,0.38,0.4,0.38,0.44
Google-guava,implementation,DecisionTreeModel,0.72,0.6,0.61,0.62
Google-guava,implementation,GaussianNaiveBayesModel,0.51,0.93,0.65,0.5
Google-guava,implementation,GradientBoostingRegressorModel,0.76,0.73,0.74,0.77
Google-guava,implementation,LinearSVMModel,0.45,0.42,0.41,0.47
Google-guava,implementation,LogisticRegressionModel,0.5,0.47,0.45,0.56
Google-guava,implementation,RandomForestModel,0.79,0.65,0.66,0.68
Netflix-Hystrix,design,DecisionTreeModel,0.79,0.68,0.73,0.74
Netflix-Hystrix,design,GaussianNaiveBayesModel,0.81,0.54,0.62,0.7
Netflix-Hystrix,design,GradientBoostingRegressorModel,0.75,0.62,0.67,0.71
Netflix-Hystrix,design,LinearSVMModel,0.85,0.64,0.7,0.75
Netflix-Hystrix,design,LogisticRegressionModel,0.8,0.65,0.71,0.74
Netflix-Hystrix,design,RandomForestModel,0.8,0.7,0.73,0.75
Netflix-Hystrix,implementation,DecisionTreeModel,0.69,0.54,0.59,0.66
Netflix-Hystrix,implementation,GaussianNaiveBayesModel,0.72,0.47,0.55,0.62
Netflix-Hystrix,implementation,GradientBoostingRegressorModel,0.73,0.65,0.65,0.69
Netflix-Hystrix,implementation,LinearSVMModel,0.77,0.39,0.49,0.61
Netflix-Hystrix,implementation,LogisticRegressionModel,0.72,0.47,0.56,0.64
Netflix-Hystrix,implementation,RandomForestModel,0.72,0.63,0.66,0.68
Netflix-conductor,design,DecisionTreeModel,0.63,0.58,0.59,0.61
Netflix-conductor,design,GaussianNaiveBayesModel,0.72,0.29,0.39,0.59
Netflix-conductor,design,GradientBoostingRegressorModel,0.54,0.51,0.51,0.54
Netflix-conductor,design,LinearSVMModel,0.61,0.37,0.45,0.56
Netflix-conductor,design,LogisticRegressionModel,0.57,0.49,0.52,0.55
Netflix-conductor,design,RandomForestModel,0.61,0.53,0.56,0.59
Netflix-conductor,implementation,DecisionTreeModel,0.62,0.51,0.55,0.6
Netflix-conductor,implementation,GaussianNaiveBayesModel,0.69,0.38,0.45,0.58
Netflix-conductor,implementation,GradientBoostingRegressorModel,0.6,0.52,0.55,0.58
Netflix-conductor,implementation,LinearSVMModel,0.71,0.33,0.45,0.6
Netflix-conductor,implementation,LogisticRegressionModel,0.62,0.53,0.57,0.6
Netflix-conductor,implementation,RandomForestModel,0.63,0.59,0.61,0.62
Netflix-eureka,design,DecisionTreeModel,0.59,0.51,0.53,0.6
Netflix-eureka,design,GaussianNaiveBayesModel,0.67,0.46,0.5,0.62
Netflix-eureka,design,GradientBoostingRegressorModel,0.67,0.68,0.65,0.66
Netflix-eureka,design,LinearSVMModel,0.74,0.72,0.71,0.72
Netflix-eureka,design,LogisticRegressionModel,0.71,0.66,0.66,0.69
Netflix-eureka,design,RandomForestModel,0.65,0.63,0.62,0.65
Netflix-eureka,implementation,DecisionTreeModel,0.8,0.45,0.57,0.67
Netflix-eureka,implementation,GaussianNaiveBayesModel,0.74,0.42,0.52,0.61
Netflix-eureka,implementation,GradientBoostingRegressorModel,0.66,0.55,0.58,0.62
Netflix-eureka,implementation,LinearSVMModel,0.79,0.32,0.43,0.6
Netflix-eureka,implementation,LogisticRegressionModel,0.62,0.42,0.49,0.6
Netflix-eureka,implementation,RandomForestModel,0.77,0.6,0.63,0.69
Netflix-zuul,design,DecisionTreeModel,0.65,0.6,0.58,0.64
Netflix-zuul,design,GaussianNaiveBayesModel,0.5,0.55,0.52,0.64
Netflix-zuul,design,GradientBoostingRegressorModel,0.8,0.7,0.72,0.71
Netflix-zuul,design,LinearSVMModel,0.67,0.65,0.62,0.62
Netflix-zuul,design,LogisticRegressionModel,0.35,0.3,0.3,0.43
Netflix-zuul,design,RandomForestModel,0.6,0.65,0.59,0.67
Netflix-zuul,implementation,DecisionTreeModel,0.43,0.45,0.41,0.57
Netflix-zuul,implementation,GaussianNaiveBayesModel,0.55,0.4,0.45,0.57
Netflix-zuul,implementation,GradientBoostingRegressorModel,0.52,0.5,0.48,0.57
Netflix-zuul,implementation,LinearSVMModel,0.57,0.6,0.56,0.62
Netflix-zuul,implementation,LogisticRegressionModel,0.62,0.65,0.6,0.62
Netflix-zuul,implementation,RandomForestModel,0.47,0.4,0.41,0.57
Spring-boot,design,DecisionTreeModel,0.47,0.52,0.49,0.48
Spring-boot,design,GaussianNaiveBayesModel,0.3,0.1,0.14,0.53
Spring-boot,design,GradientBoostingRegressorModel,0.4,0.32,0.35,0.41
Spring-boot,design,LinearSVMModel,0.49,0.34,0.35,0.54
Spring-boot,design,LogisticRegressionModel,0.49,0.45,0.45,0.5
Spring-boot,design,RandomForestModel,0.46,0.52,0.48,0.45
Spring-boot,implementation,DecisionTreeModel,0.6,0.56,0.55,0.59
Spring-boot,implementation,GaussianNaiveBayesModel,0.64,0.39,0.47,0.61
Spring-boot,implementation,GradientBoostingRegressorModel,0.62,0.55,0.56,0.6
Spring-boot,implementation,LinearSVMModel,0.71,0.47,0.54,0.66
Spring-boot,implementation,LogisticRegressionModel,0.71,0.57,0.61,0.66
Spring-boot,implementation,RandomForestModel,0.6,0.4,0.48,0.61
Spring-security,design,DecisionTreeModel,0.52,0.45,0.48,0.51
Spring-security,design,GaussianNaiveBayesModel,0.68,0.23,0.34,0.56
Spring-security,design,GradientBoostingRegressorModel,0.6,0.59,0.59,0.6
Spring-security,design,LinearSVMModel,0.62,0.42,0.49,0.58
Spring-security,design,LogisticRegressionModel,0.57,0.46,0.5,0.55
Spring-security,design,RandomForestModel,0.59,0.61,0.59,0.6
Spring-security,implementation,DecisionTreeModel,0.61,0.57,0.58,0.6
Spring-security,implementation,GaussianNaiveBayesModel,0.65,0.32,0.42,0.57
Spring-security,implementation,GradientBoostingRegressorModel,0.61,0.55,0.58,0.6
Spring-security,implementation,LinearSVMModel,0.55,0.44,0.48,0.54
Spring-security,implementation,LogisticRegressionModel,0.56,0.47,0.51,0.55
Spring-security,implementation,RandomForestModel,0.63,0.56,0.59,0.62
