config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
948809,CSV,Google-exoplayer,implementation,LinearSVMModel,0.76,0.30,0.59,0.41,110,15,88,37,0.59
948809,CSV,Google-exoplayer,implementation,RandomForestModel,0.66,0.54,0.64,0.59,91,34,57,68,0.64
948809,CSV,Google-exoplayer,implementation,DecisionTreeModel,0.55,0.41,0.54,0.46,85,40,74,51,0.54
948809,CSV,Google-exoplayer,implementation,LogisticRegressionModel,0.64,0.47,0.60,0.54,91,34,66,59,0.60
948809,CSV,Google-exoplayer,implementation,GaussianNaiveBayesModel,0.65,0.29,0.57,0.39,106,19,89,36,0.57
948809,CSV,Google-exoplayer,implementation,GradientBoostingRegressorModel,0.62,0.55,0.61,0.58,83,42,56,69,0.61
948809,CSV,Google-exoplayer,design,LinearSVMModel,0.67,0.45,0.59,0.49,61,22,46,37,0.60
948809,CSV,Google-exoplayer,design,RandomForestModel,0.55,0.49,0.56,0.51,52,31,42,41,0.56
948809,CSV,Google-exoplayer,design,DecisionTreeModel,0.55,0.39,0.51,0.43,52,31,51,32,0.51
948809,CSV,Google-exoplayer,design,LogisticRegressionModel,0.63,0.50,0.59,0.55,56,27,41,42,0.59
948809,CSV,Google-exoplayer,design,GaussianNaiveBayesModel,0.56,0.25,0.57,0.33,73,10,62,21,0.56
948809,CSV,Google-exoplayer,design,GradientBoostingRegressorModel,0.56,0.53,0.55,0.54,48,35,39,44,0.56
948809,CSV,Google-gson,implementation,LinearSVMModel,0.68,0.44,0.57,0.52,39,15,31,23,0.57
948809,CSV,Google-gson,implementation,RandomForestModel,0.54,0.58,0.57,0.56,30,24,22,32,0.57
948809,CSV,Google-gson,implementation,DecisionTreeModel,0.67,0.50,0.64,0.56,42,12,27,27,0.65
948809,CSV,Google-gson,implementation,LogisticRegressionModel,0.63,0.47,0.59,0.52,38,16,29,25,0.59
948809,CSV,Google-gson,implementation,GaussianNaiveBayesModel,0.68,0.29,0.60,0.39,49,5,38,16,0.60
948809,CSV,Google-gson,implementation,GradientBoostingRegressorModel,0.52,0.44,0.52,0.47,32,22,30,24,0.52
948809,CSV,Google-gson,design,LinearSVMModel,0.68,0.47,0.61,0.53,34,11,24,21,0.61
948809,CSV,Google-gson,design,RandomForestModel,0.59,0.61,0.57,0.56,24,21,18,27,0.57
948809,CSV,Google-gson,design,DecisionTreeModel,0.61,0.48,0.57,0.48,29,16,23,22,0.56
948809,CSV,Google-gson,design,LogisticRegressionModel,0.70,0.63,0.68,0.65,33,12,17,28,0.69
948809,CSV,Google-gson,design,GaussianNaiveBayesModel,0.60,0.37,0.60,0.43,37,8,28,17,0.60
948809,CSV,Google-gson,design,GradientBoostingRegressorModel,0.61,0.51,0.58,0.54,29,16,22,23,0.59
948809,CSV,Google-guava,implementation,LinearSVMModel,0.57,0.57,0.59,0.54,14,10,10,14,0.58
948809,CSV,Google-guava,implementation,RandomForestModel,0.70,0.53,0.68,0.57,21,3,12,12,0.70
948809,CSV,Google-guava,implementation,DecisionTreeModel,0.73,0.72,0.67,0.69,15,9,7,17,0.68
948809,CSV,Google-guava,implementation,LogisticRegressionModel,0.57,0.63,0.63,0.58,16,8,9,15,0.63
948809,CSV,Google-guava,implementation,GaussianNaiveBayesModel,0.53,1.00,0.54,0.68,2,22,0,24,0.54
948809,CSV,Google-guava,implementation,GradientBoostingRegressorModel,0.68,0.60,0.62,0.61,16,8,10,14,0.62
948809,CSV,Google-guava,design,LinearSVMModel,0.63,0.80,0.65,0.68,9,10,3,16,0.65
948809,CSV,Google-guava,design,RandomForestModel,0.62,0.80,0.65,0.67,9,10,3,16,0.65
